"U:0","U:1","U:2","p","Cell Type"
2.84672007e-02,-2.05940008e-02,-1.68271002e-03,4.15793985e-01,5
2.84672007e-02,-2.05940008e-02,-1.68271002e-03,4.15793985e-01,5
3.59935015e-02,-2.60556992e-02,-5.91913005e-03,4.13870007e-01,5
3.59935015e-02,-2.60556992e-02,-5.91913005e-03,4.13870007e-01,5
6.22499995e-02,-5.16424999e-02,-5.81821008e-03,4.16155010e-01,5
6.22499995e-02,-5.16424999e-02,-5.81821008e-03,4.16155010e-01,5
7.31699988e-02,-6.19468018e-02,-1.21972999e-02,4.14388001e-01,5
7.31699988e-02,-6.19468018e-02,-1.21972999e-02,4.14388001e-01,5
6.47222027e-02,-5.28333001e-02,-1.76803004e-02,4.11448002e-01,5
6.47222027e-02,-5.28333001e-02,-1.76803004e-02,4.11448002e-01,5
6.47222027e-02,-5.28333001e-02,-1.76803004e-02,4.11448002e-01,5
4.58196998e-02,-3.84365991e-02,-8.44158977e-03,4.12775993e-01,5
8.22950974e-02,-8.25330019e-02,-1.67558994e-02,4.13753986e-01,5
8.22950974e-02,-8.25330019e-02,-1.67558994e-02,4.13753986e-01,5
9.23717991e-02,-9.56941023e-02,-2.49975007e-02,4.11846012e-01,5
9.23717991e-02,-9.56941023e-02,-2.49975007e-02,4.11846012e-01,5
6.04561009e-02,-4.56129014e-02,-2.45217998e-02,4.10416007e-01,5
4.39608991e-02,-3.29243988e-02,-1.27133001e-02,4.11650002e-01,5
4.39608991e-02,-3.29243988e-02,-1.27133001e-02,4.11650002e-01,5
4.39608991e-02,-3.29243988e-02,-1.27133001e-02,4.11650002e-01,5
8.39331970e-02,-7.40088001e-02,-1.90660991e-02,4.12955999e-01,5
8.39331970e-02,-7.40088001e-02,-1.90660991e-02,4.12955999e-01,5
4.59954003e-03,-5.85955009e-03,-4.82755015e-03,4.07083988e-01,5
4.59954003e-03,-5.85955009e-03,-4.82755015e-03,4.07083988e-01,5
7.29196984e-03,-1.40068000e-02,-1.02847004e-02,4.05992001e-01,5
7.29196984e-03,-1.40068000e-02,-1.02847004e-02,4.05992001e-01,5
1.13011999e-02,-1.58217996e-02,-1.39209004e-02,4.06713009e-01,5
1.13011999e-02,-1.58217996e-02,-1.39209004e-02,4.06713009e-01,5
1.13011999e-02,-1.58217996e-02,-1.39209004e-02,4.06713009e-01,5
2.02316009e-02,-3.88783999e-02,-2.70576999e-02,4.04686987e-01,5
2.02316009e-02,-3.88783999e-02,-2.70576999e-02,4.04686987e-01,5
5.40767014e-02,-9.73182023e-02,-5.17817996e-02,4.06531006e-01,5
5.40767014e-02,-9.73182023e-02,-5.17817996e-02,4.06531006e-01,5
2.78117005e-02,-3.56369019e-02,-3.39701995e-02,4.05824006e-01,5
2.78117005e-02,-3.56369019e-02,-3.39701995e-02,4.05824006e-01,5
2.78117005e-02,-3.56369019e-02,-3.39701995e-02,4.05824006e-01,5
9.30276979e-03,-2.89526000e-03,-2.87556998e-03,4.24369007e-01,5
9.30276979e-03,-2.89526000e-03,-2.87556998e-03,4.24369007e-01,5
1.20836999e-02,-4.80601005e-03,-5.43669006e-03,4.23305005e-01,5
1.20836999e-02,-4.80601005e-03,-5.43669006e-03,4.23305005e-01,5
1.20836999e-02,-4.80601005e-03,-5.43669006e-03,4.23305005e-01,5
5.61580015e-03,-1.53631996e-03,-2.46694009e-03,4.24719989e-01,5
3.04754004e-02,-1.68535002e-02,-1.85062997e-02,4.23483998e-01,5
3.04754004e-02,-1.68535002e-02,-1.85062997e-02,4.23483998e-01,5
3.12744007e-02,-2.04284005e-02,-2.19247006e-02,4.23460007e-01,5
5.81893995e-02,-4.20332998e-02,-3.47114988e-02,4.21561986e-01,5
5.81893995e-02,-4.20332998e-02,-3.47114988e-02,4.21561986e-01,5
4.28851992e-02,-2.55082007e-02,-2.71632001e-02,4.22672004e-01,5
4.28851992e-02,-2.55082007e-02,-2.71632001e-02,4.22672004e-01,5
5.72787002e-02,-4.41040993e-02,-3.54708992e-02,4.21754986e-01,5
5.72787002e-02,-4.41040993e-02,-3.54708992e-02,4.21754986e-01,5
2.66399998e-02,-2.88644005e-02,-2.51618009e-02,4.24432993e-01,5
2.66399998e-02,-2.88644005e-02,-2.51618009e-02,4.24432993e-01,5
2.90495008e-02,-2.92923003e-02,-2.58140992e-02,4.24329013e-01,5
2.90495008e-02,-2.92923003e-02,-2.58140992e-02,4.24329013e-01,5
7.79127032e-02,-8.44167992e-02,-5.38705997e-02,4.20262992e-01,5
7.79127032e-02,-8.44167992e-02,-5.38705997e-02,4.20262992e-01,5
7.27311969e-02,-6.72196969e-02,-4.52188998e-02,4.20697987e-01,5
7.27311969e-02,-6.72196969e-02,-4.52188998e-02,4.20697987e-01,5
7.93451965e-02,-9.13193002e-02,-4.60809991e-02,4.20603991e-01,5
7.93451965e-02,-9.13193002e-02,-4.60809991e-02,4.20603991e-01,5
7.02508986e-02,-6.79956004e-02,-4.60825004e-02,4.21274990e-01,5
7.02508986e-02,-6.79956004e-02,-4.60825004e-02,4.21274990e-01,5
7.78810009e-02,-9.16604027e-02,-4.88738008e-02,4.21072990e-01,5
7.78810009e-02,-9.16604027e-02,-4.88738008e-02,4.21072990e-01,5
5.33179007e-02,-5.02118990e-02,-3.89556997e-02,4.22854006e-01,5
5.33179007e-02,-5.02118990e-02,-3.89556997e-02,4.22854006e-01,5
4.24539000e-02,-3.09759993e-02,-2.92236991e-02,4.23262000e-01,5
4.24539000e-02,-3.09759993e-02,-2.92236991e-02,4.23262000e-01,5
4.24539000e-02,-3.09759993e-02,-2.92236991e-02,4.23262000e-01,5
5.46093993e-02,-4.84369993e-02,-3.82632986e-02,4.22533005e-01,5
5.46093993e-02,-4.84369993e-02,-3.82632986e-02,4.22533005e-01,5
3.54368016e-02,-3.92948985e-02,-3.12886015e-02,4.24084008e-01,5
3.54368016e-02,-3.92948985e-02,-3.12886015e-02,4.24084008e-01,5
4.19812985e-02,-4.85094003e-02,-3.66648994e-02,4.23691005e-01,5
4.19812985e-02,-4.85094003e-02,-3.66648994e-02,4.23691005e-01,5
4.54523005e-02,-5.07407002e-02,-3.78830992e-02,4.23613995e-01,5
4.54523005e-02,-5.07407002e-02,-3.78830992e-02,4.23613995e-01,5
5.05664013e-02,-5.10379001e-02,-3.89075987e-02,4.23195004e-01,5
5.05664013e-02,-5.10379001e-02,-3.89075987e-02,4.23195004e-01,5
3.82427014e-02,-3.94307002e-02,-3.17884982e-02,4.24012005e-01,5
3.82427014e-02,-3.94307002e-02,-3.17884982e-02,4.24012005e-01,5
4.80870008e-02,-5.07912003e-02,-3.81315015e-02,4.23429996e-01,5
4.80870008e-02,-5.07912003e-02,-3.81315015e-02,4.23429996e-01,5
6.48825988e-02,-8.09571967e-02,-4.88741994e-02,4.22201008e-01,5
6.48825988e-02,-8.09571967e-02,-4.88741994e-02,4.22201008e-01,5
5.25070988e-02,-6.26493022e-02,-4.35134992e-02,4.23175991e-01,5
5.25070988e-02,-6.26493022e-02,-4.35134992e-02,4.23175991e-01,5
5.52650988e-02,-6.41651973e-02,-4.39302996e-02,4.22847003e-01,5
5.52650988e-02,-6.41651973e-02,-4.39302996e-02,4.22847003e-01,5
6.29314035e-02,-9.57650021e-02,-6.05242997e-02,4.22751009e-01,5
6.29314035e-02,-9.57650021e-02,-6.05242997e-02,4.22751009e-01,5
6.61719963e-02,-9.76552963e-02,-6.03065006e-02,4.22805995e-01,5
6.61719963e-02,-9.76552963e-02,-6.03065006e-02,4.22805995e-01,5
4.87934016e-02,-5.74360006e-02,-4.08421010e-02,4.23222005e-01,5
4.87934016e-02,-5.74360006e-02,-4.08421010e-02,4.23222005e-01,5
5.48756011e-02,-6.57695010e-02,-4.26789001e-02,4.22437996e-01,5
5.48756011e-02,-6.57695010e-02,-4.26789001e-02,4.22437996e-01,5
5.91400005e-02,-9.45257992e-02,-6.14397004e-02,4.23074007e-01,5
5.91400005e-02,-9.45257992e-02,-6.14397004e-02,4.23074007e-01,5
4.25894000e-02,-4.54648994e-02,-3.48379984e-02,4.23577994e-01,5
4.25894000e-02,-4.54648994e-02,-3.48379984e-02,4.23577994e-01,5
5.62851988e-02,-9.16384012e-02,-5.97762987e-02,4.23325986e-01,5
5.62851988e-02,-9.16384012e-02,-5.97762987e-02,4.23325986e-01,5
6.94949999e-02,-1.22135997e-01,-7.06010014e-02,4.22248989e-01,5
6.94949999e-02,-1.22135997e-01,-7.06010014e-02,4.22248989e-01,5
5.95653988e-02,-7.22787008e-02,-4.21746001e-02,4.21837002e-01,5
