"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.0049927,-0.022214,-0.0075097,0.1062,-0.15519,-0.026642,0.41477
0.0054994,-0.021914,-0.007505,0.11884,-0.25979,-0.042425,0.41333
0.0054994,-0.021912,-0.0075504,0.11069,-0.25543,-0.04344,0.41196
0.0054642,-0.021933,-0.0075519,0.10907,-0.24345,-0.040246,0.41221
0.0049882,-0.022231,-0.0070005,0.10908,-0.16961,-0.036061,0.41835
0.0050376,-0.022202,-0.0070005,0.11271,-0.18194,-0.040753,0.41735
0.0050577,-0.022193,-0.0069061,0.10882,-0.18187,-0.043081,0.41818
0.0050568,-0.022188,-0.0070928,0.11659,-0.18201,-0.038424,0.41652
0.0053742,-0.022002,-0.0070013,0.12999,-0.2391,-0.039667,0.41743
0.005499,-0.021928,-0.0070017,0.14796,-0.29956,-0.04898,0.42015
0.0053688,-0.022002,-0.0071309,0.13167,-0.24124,-0.037634,0.41734
0.005499,-0.021927,-0.0070388,0.14356,-0.28889,-0.04495,0.41967
0.0055518,-0.021897,-0.0070019,0.15939,-0.32745,-0.059246,0.41998
0.0055451,-0.021902,-0.0069647,0.16337,-0.3359,-0.062496,0.42046
0.0054733,-0.021942,-0.0070391,0.13371,-0.263,-0.035528,0.42007
0.0055393,-0.021903,-0.0070508,0.15341,-0.31479,-0.054372,0.41926
0.0059319,-0.021671,-0.0070034,0.17941,-0.3602,-0.076082,0.41949
0.0049887,-0.022245,-0.0064924,0.093058,-0.16414,-0.056036,0.4215
0.0053966,-0.022003,-0.0064948,0.13033,-0.2428,-0.054545,0.41988
0.0054014,-0.022003,-0.0063981,0.1321,-0.24277,-0.060353,0.42063
0.0054995,-0.021942,-0.0064955,0.1536,-0.29775,-0.060843,0.42264
0.0054995,-0.021943,-0.006466,0.1546,-0.29091,-0.0633,0.42323
0.0053936,-0.022003,-0.0065464,0.13068,-0.25007,-0.045543,0.41995
0.0056514,-0.021852,-0.006495,0.16885,-0.32545,-0.076563,0.42207
0.005558,-0.021909,-0.0064383,0.17032,-0.31757,-0.079027,0.42238
0.0054713,-0.02196,-0.0064634,0.13888,-0.26426,-0.047573,0.42409
0.0055508,-0.02191,-0.0065361,0.16664,-0.33727,-0.072868,0.4216
0.0054713,-0.021958,-0.0065203,0.13856,-0.27191,-0.043903,0.42249
0.0050481,-0.022224,-0.0059856,0.075334,-0.15693,-0.080819,0.42581
0.0049905,-0.022257,-0.0060458,0.067675,-0.14723,-0.080227,0.42524
0.0054206,-0.022003,-0.005998,0.12654,-0.23565,-0.065936,0.42447
0.005502,-0.021954,-0.0060001,0.13993,-0.26652,-0.071525,0.42416
0.0056253,-0.021881,-0.0060049,0.14276,-0.27967,-0.079039,0.42284
0.0055587,-0.021922,-0.005963,0.13538,-0.27594,-0.077,0.42318
0.0055435,-0.021929,-0.0060331,0.15382,-0.28525,-0.082097,0.42233
0.0054813,-0.021966,-0.0060175,0.13777,-0.24939,-0.059925,0.42618
0.0054372,-0.022007,-0.0054874,0.064549,-0.13607,-0.022398,0.43021
0.005501,-0.021969,-0.0054882,0.05972,-0.17147,-0.022183,0.42901
0.005501,-0.02197,-0.0054699,0.050748,-0.14623,-0.016618,0.42931
0.0055926,-0.021915,-0.005491,0.057473,-0.16524,-0.02077,0.42799
0.0054468,-0.022005,-0.0053758,0.056769,-0.12836,-0.016722,0.43035
0.0055376,-0.021949,-0.0054532,0.051131,-0.14301,-0.017233,0.42827
0.0055454,-0.021942,-0.0055213,0.066987,-0.1986,-0.026077,0.42757
0.005487,-0.021978,-0.0054685,0.050364,-0.14945,-0.016003,0.43036
0.0062735,-0.021446,-0.0077833,0.004173,-0.026164,-0.00078477,0.4247
0.0062881,-0.021438,-0.0077708,0.0072224,-0.037885,-0.0030088,0.42461
0.0062655,-0.021451,-0.0077809,0.004173,-0.026164,-0.00078477,0.4247
0.004738,-0.022387,-0.0067472,0.079036,-0.10417,-0.057478,0.42123
0.0048267,-0.022334,-0.0067467,0.084826,-0.11801,-0.061332,0.42073
0.0046488,-0.02244,-0.0067478,0.067903,-0.084066,-0.053078,0.42234
0.0046711,-0.022425,-0.0068168,0.071234,-0.084017,-0.052839,0.42203
0.0046709,-0.022429,-0.0066759,0.065683,-0.0841,-0.053237,0.42255
0.0047399,-0.0224,-0.0062375,0.041668,-0.047854,-0.027314,0.42189
0.0062668,-0.021494,-0.0062349,0.048519,-0.12623,-0.0073088,0.42715
0.0062638,-0.021495,-0.0062379,0.087724,-0.19601,-0.025083,0.42391
0.0062639,-0.021495,-0.0062349,0.063093,-0.1588,-0.016266,0.42457
0.0062663,-0.021494,-0.0062354,0.082089,-0.16957,-0.021516,0.42778
0.0052113,-0.02207,-0.0080296,0.00030511,0.00021717,0.00073415,0.40762
0.0052503,-0.022046,-0.0080479,0.00062812,9.176e-05,0.0012533,0.40765
0.0052472,-0.022049,-0.0079989,0.0012159,-0.0012082,-0.00035337,0.40697
0.0051793,-0.02209,-0.0079978,0.0005777,-0.00012075,0.00022229,0.40722
0.005229,-0.02206,-0.0080191,0.00030511,0.00021717,0.00073415,0.40762
0.0055007,-0.021906,-0.0077498,0.049903,-0.13565,-0.050649,0.40491
0.0045153,-0.022498,-0.0075084,0.029196,-0.021467,-0.0027433,0.41933
0.0053517,-0.022001,-0.0075029,0.11666,-0.22155,-0.037905,0.41313
0.0052459,-0.022064,-0.0075032,0.11935,-0.20734,-0.042332,0.4123
0.0053467,-0.022002,-0.0075982,0.1104,-0.215,-0.039155,0.41212
0.0052708,-0.02205,-0.0074787,0.13032,-0.22201,-0.043205,0.41274
0.0051858,-0.022098,-0.0075684,0.11374,-0.18966,-0.04235,0.41157
0.005273,-0.022047,-0.0075315,0.11378,-0.20939,-0.045959,0.41113
0.0057526,-0.021763,-0.0075076,0.12423,-0.2911,-0.049328,0.41326
0.0057509,-0.021761,-0.0076293,0.11519,-0.28437,-0.049508,0.41141
0.0060111,-0.02161,-0.0075079,0.11831,-0.272,-0.041789,0.4183
0.0059129,-0.021671,-0.0074193,0.15313,-0.31837,-0.055091,0.41765
0.0060596,-0.02158,-0.007556,0.091668,-0.23521,-0.034378,0.41819
0.0044978,-0.022522,-0.0070084,0.040968,-0.026675,-0.025657,0.4217
0.0044852,-0.02253,-0.0069791,0.036199,-0.02076,-0.021464,0.42256
0.0049872,-0.022239,-0.0067464,0.10321,-0.16232,-0.04127,0.41983
0.0050579,-0.022195,-0.006817,0.10882,-0.18187,-0.043081,0.41818
0.0044875,-0.022543,-0.0064941,0.012455,-0.0077854,-0.0089773,0.42399
0.0044843,-0.022543,-0.0065486,0.024156,-0.024093,-0.02134,0.42387
0.0045018,-0.022534,-0.0064924,0.024079,-0.023091,-0.021685,0.42404
0.0044782,-0.02255,-0.0064414,0.015104,-0.013466,-0.014465,0.42457
0.0044762,-0.02255,-0.0064812,0.0073185,-0.00468,-0.0065385,0.42477
0.0052426,-0.022094,-0.0064937,0.12203,-0.21543,-0.049114,0.41886
0.0052712,-0.022079,-0.0064566,0.12759,-0.22845,-0.068872,0.41833
0.0052663,-0.022079,-0.0065244,0.12281,-0.22824,-0.047183,0.41742
0.0049897,-0.022252,-0.0062385,0.08145,-0.16315,-0.072282,0.42309
0.0049894,-0.022254,-0.0061758,0.082757,-0.16785,-0.07537,0.42328
0.0055009,-0.021948,-0.0062461,0.152,-0.28096,-0.065017,0.42345
0.0054088,-0.022003,-0.0062444,0.13535,-0.24873,-0.058215,0.42234
0.005555,-0.021915,-0.0062789,0.17032,-0.31757,-0.079027,0.42238
0.0054746,-0.021963,-0.0062633,0.13888,-0.26426,-0.047573,0.42409
0.0054783,-0.021962,-0.006222,0.13777,-0.24939,-0.059925,0.42618
0.0060112,-0.021638,-0.006494,0.1716,-0.32254,-0.084905,0.42161
0.0059334,-0.021682,-0.0065781,0.18455,-0.3533,-0.089167,0.42032
0.0052477,-0.022105,-0.0059938,0.10437,-0.1968,-0.074731,0.4246
0.0051722,-0.02215,-0.0059912,0.096349,-0.18535,-0.076505,0.42482
0.0052478,-0.022107,-0.0059454,0.099561,-0.18705,-0.074683,0.42578
0.0052702,-0.022092,-0.0059943,0.11319,-0.21006,-0.072765,0.42412
0.0051918,-0.02214,-0.0059283,0.091616,-0.17455,-0.077655,0.42636
0.0052769,-0.022089,-0.0059618,0.10751,-0.19954,-0.071711,0.4252
0.0051813,-0.022143,-0.006044,0.099504,-0.19254,-0.075739,0.4238
0.0052837,-0.022083,-0.0060262,0.11887,-0.22058,-0.07382,0.42304
0.0054251,-0.022007,-0.0057494,0.10002,-0.2044,-0.055264,0.42809
0.0055014,-0.021962,-0.0057502,0.10055,-0.24122,-0.052445,0.42666
0.0055333,-0.021943,-0.005751,0.097866,-0.24832,-0.051784,0.42572
0.0055532,-0.02193,-0.0057887,0.10928,-0.2615,-0.062075,0.42501
0.0055513,-0.021933,-0.0057151,0.086452,-0.23513,-0.041492,0.42643
0.0052631,-0.022111,-0.0054866,0.058834,-0.10686,-0.026729,0.43143
0.00524,-0.022123,-0.0055153,0.056999,-0.10742,-0.035579,0.4318
0.0052386,-0.022125,-0.0054838,0.054276,-0.10099,-0.029358,0.43178
0.0052399,-0.022121,-0.0055958,0.060126,-0.11334,-0.035706,0.43162
0.0052743,-0.022105,-0.0054378,0.051288,-0.088555,-0.017499,0.43159
0.0052697,-0.022106,-0.0055225,0.06638,-0.12517,-0.03596,0.43127
0.0054599,-0.022001,-0.0052279,0.019009,-0.025804,-0.0035018,0.43012
0.0055028,-0.021975,-0.005232,0.01999,-0.031443,-0.004476,0.42971
0.0048416,-0.022304,-0.0075125,0.093253,-0.095985,-0.02332,0.41549
0.0052429,-0.022059,-0.0077357,0.078824,-0.1247,-0.05126,0.40735
0.0052445,-0.022059,-0.0077014,0.095089,-0.14987,-0.053416,0.40865
0.0052781,-0.022039,-0.0077128,0.093577,-0.16386,-0.057544,0.40886
0.006005,-0.021606,-0.0077567,0.040177,-0.15708,-0.0086308,0.41726
0.006057,-0.021576,-0.0077295,0.049764,-0.18481,-0.019254,0.41654
0.005868,-0.021698,-0.0074061,0.15313,-0.31837,-0.055091,0.41765
0.0062089,-0.021492,-0.0075066,0.074936,-0.18981,-0.042599,0.42219
0.0062679,-0.021457,-0.0075058,0.049891,-0.13106,-0.034915,0.42524
0.0062116,-0.021492,-0.0074507,0.087588,-0.20734,-0.048176,0.42256
0.0062603,-0.021462,-0.0075059,0.057428,-0.14593,-0.039271,0.42668
0.0062571,-0.021463,-0.0075209,0.046375,-0.1307,-0.034971,0.42638
0.0062585,-0.021463,-0.007494,0.068481,-0.16117,-0.04357,0.42698
0.004831,-0.022325,-0.007001,0.091635,-0.11368,-0.05198,0.41894
0.004483,-0.022538,-0.0067494,0.025579,-0.01825,-0.016983,0.42384
0.0044862,-0.022536,-0.0067728,0.028596,-0.018438,-0.016953,0.42355
0.004486,-0.022536,-0.0067493,0.039117,-0.034852,-0.030245,0.42386
0.0062673,-0.021486,-0.0064942,0.10142,-0.19306,-0.034545,0.42925
0.0062722,-0.021483,-0.0064942,0.07932,-0.16118,-0.024957,0.42979
0.0062673,-0.021486,-0.0064908,0.091045,-0.17984,-0.028722,0.42911
0.0062559,-0.021493,-0.0064942,0.12635,-0.24248,-0.048528,0.42624
0.0062673,-0.021486,-0.0064959,0.11179,-0.20628,-0.040367,0.4294
0.0062721,-0.021483,-0.0064894,0.068506,-0.14858,-0.018469,0.42966
0.0062654,-0.021487,-0.0064914,0.11358,-0.21109,-0.038976,0.42856
0.0062651,-0.021487,-0.0064967,0.13345,-0.23879,-0.049289,0.42887
0.0062722,-0.021483,-0.0064982,0.090133,-0.17378,-0.031446,0.42993
0.0052445,-0.0221,-0.0062416,0.11872,-0.21584,-0.062221,0.42038
0.0052734,-0.022082,-0.006271,0.12759,-0.22845,-0.068872,0.41833
0.0060066,-0.021648,-0.00624,0.1195,-0.21818,-0.052233,0.42051
0.0060656,-0.021613,-0.0062385,0.10414,-0.20842,-0.040024,0.42093
0.0060741,-0.02161,-0.0061706,0.079226,-0.1735,-0.026657,0.42033
0.0060711,-0.021608,-0.0062884,0.12906,-0.24335,-0.05339,0.42153
0.0052655,-0.022102,-0.0057493,0.08926,-0.16594,-0.062326,0.42908
0.0052422,-0.022116,-0.0057486,0.086559,-0.16125,-0.061975,0.42925
0.0052709,-0.022098,-0.0057832,0.096782,-0.17926,-0.069704,0.42809
0.0052688,-0.022101,-0.0057138,0.081738,-0.15261,-0.054948,0.43007
0.0052465,-0.022128,-0.0052292,0.017796,-0.026636,-0.0040958,0.43222
0.0048334,-0.022316,-0.0072536,0.096651,-0.11562,-0.039244,0.41736
0.0062201,-0.021493,-0.0072544,0.11559,-0.2481,-0.057476,0.42417
0.0062224,-0.021493,-0.0072106,0.1275,-0.26846,-0.060296,0.42414
0.0062664,-0.021465,-0.0072543,0.090043,-0.19706,-0.047814,0.42744
0.0062601,-0.021469,-0.0072542,0.10304,-0.21505,-0.052177,0.42804
0.006259,-0.021469,-0.0072638,0.093423,-0.19918,-0.051186,0.4278
0.0062591,-0.02147,-0.007245,0.11267,-0.23092,-0.053169,0.42828
0.0051113,-0.022133,-0.0078801,0.0071322,-0.01018,-0.013207,0.4062
0.0058752,-0.02168,-0.0078635,0.0072025,-0.051269,-0.0044757,0.41221
0.004863,-0.022337,-0.0058677,0.0086116,-0.023546,-0.028392,0.42624
0.0051172,-0.022186,-0.0058713,0.071771,-0.14308,-0.079957,0.42774
