"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.0099953,-0.02809,-0.0080259,0.1587,-0.13237,-0.014976,0.30448
0.010088,-0.028004,-0.0079265,0.19896,-0.19761,-0.016683,0.30285
0.0099936,-0.028089,-0.0080027,0.19168,-0.16875,-0.01864,0.30413
0.0099445,-0.028128,-0.0079843,0.18153,-0.15306,-0.018587,0.30646
0.01002,-0.028067,-0.0080044,0.20183,-0.18444,-0.018693,0.30179
0.0099924,-0.028037,-0.0075024,0.32288,-0.35609,-0.02267,0.30562
0.0099922,-0.028038,-0.0075154,0.32234,-0.35636,-0.02225,0.30482
0.010023,-0.028012,-0.0075026,0.3558,-0.40941,-0.026176,0.30279
0.0099849,-0.028043,-0.0075023,0.30823,-0.33961,-0.022202,0.30852
0.0099924,-0.028036,-0.0074964,0.32637,-0.35897,-0.023091,0.30586
0.0099793,-0.028049,-0.0075154,0.30464,-0.33748,-0.022246,0.30827
0.01,-0.028032,-0.0075112,0.33413,-0.36895,-0.022253,0.30251
0.0099809,-0.028045,-0.0074906,0.31181,-0.34175,-0.022158,0.30876
0.0099994,-0.02803,-0.0074944,0.34094,-0.37619,-0.024024,0.30295
0.0099473,-0.028019,-0.0069906,0.29037,-0.30083,-0.018444,0.3102
0.0099923,-0.027982,-0.0069909,0.33818,-0.37396,-0.027279,0.3079
0.0099947,-0.027925,-0.0064792,0.19472,-0.19598,-0.014565,0.30854
0.0099637,-0.027951,-0.0064783,0.17776,-0.17726,-0.013303,0.31154
0.0099975,-0.027913,-0.0063851,0.16465,-0.15699,-0.010571,0.30826
0.0099568,-0.027951,-0.0064299,0.14791,-0.13811,-0.009303,0.31157
0.009953,-0.027964,-0.0065202,0.20761,-0.21642,-0.017303,0.3115
0.01077,-0.027426,-0.0077571,0.1672,-0.24762,-0.024321,0.28586
0.010746,-0.027391,-0.0072511,0.17744,-0.30385,-0.052617,0.29881
0.010742,-0.027399,-0.0072899,0.18466,-0.3093,-0.053662,0.29729
0.01074,-0.027392,-0.0072094,0.17021,-0.29839,-0.051571,0.30033
0.010249,-0.027881,-0.0080121,0.1867,-0.20584,-0.011528,0.29858
0.010249,-0.027874,-0.00795,0.22282,-0.2586,-0.01314,0.29861
0.010205,-0.027915,-0.0079892,0.21183,-0.24471,-0.012578,0.30119
0.0099921,-0.028065,-0.0077613,0.27284,-0.2958,-0.018907,0.30463
0.010062,-0.028007,-0.0077617,0.31166,-0.35421,-0.019572,0.30254
0.0099921,-0.028068,-0.0077919,0.25372,-0.26973,-0.017382,0.30374
0.0099749,-0.028079,-0.007761,0.25762,-0.27724,-0.020293,0.30712
0.009992,-0.028063,-0.0077475,0.29473,-0.32552,-0.019916,0.305
0.0099624,-0.028092,-0.0077914,0.23717,-0.24781,-0.020475,0.30683
0.0099661,-0.028083,-0.0077341,0.27808,-0.30667,-0.020112,0.30742
0.010009,-0.028053,-0.0077825,0.26475,-0.28433,-0.01532,0.30168
0.010008,-0.028049,-0.0077429,0.31138,-0.34436,-0.01972,0.30259
0.010506,-0.02766,-0.007928,0.21223,-0.28203,-0.013984,0.29358
0.0094921,-0.028447,-0.007499,0.029027,-0.017132,-0.0067678,0.32302
0.0094689,-0.028466,-0.007498,0.018535,-0.009749,-0.0049555,0.32415
0.0094772,-0.028461,-0.0075158,0.018817,-0.0099889,-0.0056639,0.32393
0.0097383,-0.028245,-0.0074996,0.23386,-0.25954,-0.017027,0.31681
0.0098196,-0.028178,-0.0075007,0.26067,-0.28688,-0.017823,0.31442
0.0097388,-0.028258,-0.007619,0.23931,-0.26525,-0.018362,0.31574
0.0097377,-0.02824,-0.0074465,0.23777,-0.26331,-0.015711,0.31708
0.0097992,-0.028189,-0.0074398,0.26285,-0.28918,-0.017719,0.31481
0.01025,-0.027825,-0.0075036,0.37203,-0.44316,-0.031099,0.29781
0.010251,-0.027803,-0.0072994,0.3853,-0.46105,-0.034337,0.29794
0.010178,-0.027877,-0.0074322,0.38063,-0.45315,-0.031225,0.30307
0.010184,-0.027887,-0.007569,0.35508,-0.41751,-0.024678,0.30247
0.010512,-0.02761,-0.0075039,0.36388,-0.44235,-0.032993,0.29078
0.010472,-0.027643,-0.0075038,0.3733,-0.4472,-0.033223,0.29411
0.01041,-0.027707,-0.0076211,0.36496,-0.43633,-0.03111,0.29475
0.010429,-0.027668,-0.0074081,0.38998,-0.46895,-0.037448,0.29282
0.010564,-0.027573,-0.0075501,0.34363,-0.42333,-0.029962,0.2872
0.010251,-0.02777,-0.006993,0.38278,-0.42775,-0.031376,0.29668
0.0099934,-0.027954,-0.0067369,0.28613,-0.30556,-0.023302,0.30866
0.0099712,-0.027972,-0.0067368,0.27388,-0.29293,-0.021689,0.31119
0.0099197,-0.028018,-0.0067734,0.26217,-0.2607,-0.013889,0.31078
0.0099613,-0.027977,-0.0067047,0.25715,-0.27234,-0.019677,0.31123
0.0099668,-0.027978,-0.0067584,0.29061,-0.31352,-0.0237,0.31115
0.010511,-0.027557,-0.0069942,0.31877,-0.41141,-0.037524,0.28734
0.010588,-0.027493,-0.0069945,0.24793,-0.3459,-0.040445,0.29769
0.010582,-0.027494,-0.0069596,0.22897,-0.3263,-0.038975,0.30032
0.010537,-0.027532,-0.0069698,0.30555,-0.3953,-0.037788,0.28521
0.0097398,-0.028135,-0.0064791,0.10167,-0.069618,0.0077027,0.31693
0.010147,-0.027801,-0.0064834,0.22698,-0.23453,-0.018627,0.30125
0.01,-0.027896,-0.0062469,0.033982,-0.021498,-0.002859,0.30883
0.010515,-0.0275,-0.0064906,0.22909,-0.304,-0.018224,0.29293
0.010515,-0.027499,-0.0064885,0.18948,-0.26683,-0.019911,0.29489
