"U:0","U:1","U:2","p","Cell Type"
2.58271009e-01,-3.35813999e-01,-2.60042995e-02,2.82543987e-01,5
2.58271009e-01,-3.35813999e-01,-2.60042995e-02,2.82543987e-01,5
2.58271009e-01,-3.35813999e-01,-2.60042995e-02,2.82543987e-01,5
2.58271009e-01,-3.35813999e-01,-2.60042995e-02,2.82543987e-01,5
2.14068994e-01,-2.82988012e-01,-1.41844004e-02,2.90556014e-01,5
2.14068994e-01,-2.82988012e-01,-1.41844004e-02,2.90556014e-01,5
2.14068994e-01,-2.82988012e-01,-1.41844004e-02,2.90556014e-01,5
2.14068994e-01,-2.82988012e-01,-1.41844004e-02,2.90556014e-01,5
2.03505993e-01,-2.67426997e-01,-9.24517959e-03,2.83973008e-01,5
2.03505993e-01,-2.67426997e-01,-9.24517959e-03,2.83973008e-01,5
2.03505993e-01,-2.67426997e-01,-9.24517959e-03,2.83973008e-01,5
2.03505993e-01,-2.67426997e-01,-9.24517959e-03,2.83973008e-01,5
2.74387002e-01,-3.50326985e-01,-2.36872006e-02,2.89516985e-01,5
2.74387002e-01,-3.50326985e-01,-2.36872006e-02,2.89516985e-01,5
3.11807990e-01,-3.41746002e-01,-2.21580993e-02,3.08764011e-01,5
3.11807990e-01,-3.41746002e-01,-2.21580993e-02,3.08764011e-01,5
2.82997012e-01,-2.88286000e-01,-1.72828007e-02,3.09908003e-01,5
2.82997012e-01,-2.88286000e-01,-1.72828007e-02,3.09908003e-01,5
3.40938002e-01,-3.76188993e-01,-2.40244996e-02,3.02951992e-01,5
3.40938002e-01,-3.76188993e-01,-2.40244996e-02,3.02951992e-01,5
3.89982998e-01,-4.68946010e-01,-3.74482013e-02,2.92818993e-01,5
3.89982998e-01,-4.68946010e-01,-3.74482013e-02,2.92818993e-01,5
3.89982998e-01,-4.68946010e-01,-3.74482013e-02,2.92818993e-01,5
3.89982998e-01,-4.68946010e-01,-3.74482013e-02,2.92818993e-01,5
3.89982998e-01,-4.68946010e-01,-3.74482013e-02,2.92818993e-01,5
3.61941993e-01,-4.05829996e-01,-3.01938001e-02,3.04856986e-01,5
3.61941993e-01,-4.05829996e-01,-3.01938001e-02,3.04856986e-01,5
1.78389996e-01,-1.38247997e-01,-3.56337018e-02,3.12231004e-01,5
1.66659996e-01,-1.18234001e-01,-3.34426984e-02,3.12382996e-01,5
1.66659996e-01,-1.18234001e-01,-3.34426984e-02,3.12382996e-01,5
1.63096994e-01,-2.42806002e-01,-2.06246004e-02,2.90111005e-01,5
1.63096994e-01,-2.42806002e-01,-2.06246004e-02,2.90111005e-01,5
2.06338003e-01,-2.99703002e-01,-3.44486013e-02,2.90946007e-01,5
2.04322994e-01,-2.99208999e-01,-4.13797982e-02,2.87133008e-01,5
2.04322994e-01,-2.99208999e-01,-4.13797982e-02,2.87133008e-01,5
2.19292000e-01,-3.15780997e-01,-3.97808999e-02,2.90623993e-01,5
2.19292000e-01,-3.15780997e-01,-3.97808999e-02,2.90623993e-01,5
2.28609994e-01,-3.27051997e-01,-4.39168997e-02,2.90163010e-01,5
2.28609994e-01,-3.27051997e-01,-4.39168997e-02,2.90163010e-01,5
2.10969001e-01,-3.10047001e-01,-4.99636009e-02,2.86949992e-01,5
2.10969001e-01,-3.10047001e-01,-4.99636009e-02,2.86949992e-01,5
2.34019995e-01,-3.42404991e-01,-5.32471016e-02,2.91444987e-01,5
2.34019995e-01,-3.42404991e-01,-5.32471016e-02,2.91444987e-01,5
2.37574995e-01,-3.40950996e-01,-4.94364984e-02,2.90665001e-01,5
2.37574995e-01,-3.40950996e-01,-4.94364984e-02,2.90665001e-01,5
1.16567999e-01,-2.48401001e-01,-3.69492993e-02,2.94470012e-01,5
1.16567999e-01,-2.48401001e-01,-3.69492993e-02,2.94470012e-01,5
8.24728012e-02,-1.90347001e-01,-5.11052012e-02,3.09004009e-01,5
8.24728012e-02,-1.90347001e-01,-5.11052012e-02,3.09004009e-01,5
1.74669996e-01,-2.98207015e-01,-3.90896015e-02,2.96407998e-01,5
1.74669996e-01,-2.98207015e-01,-3.90896015e-02,2.96407998e-01,5
1.56528994e-01,-2.82099992e-01,-3.99513990e-02,2.97499001e-01,5
1.56528994e-01,-2.82099992e-01,-3.99513990e-02,2.97499001e-01,5
7.00659975e-02,-1.73911005e-01,-3.53925005e-02,3.09372008e-01,5
7.00659975e-02,-1.73911005e-01,-3.53925005e-02,3.09372008e-01,5
2.94450000e-02,-1.28274998e-02,6.02822006e-03,3.19849998e-01,5
3.85977998e-02,-1.84078999e-02,8.54238030e-03,3.20347995e-01,5
3.85977998e-02,-1.84078999e-02,8.54238030e-03,3.20347995e-01,5
4.77119014e-02,-1.52804002e-01,-3.26712010e-03,2.95082003e-01,5
1.90688998e-01,-2.91797012e-01,-3.95694003e-02,3.07871014e-01,5
1.90688998e-01,-2.91797012e-01,-3.95694003e-02,3.07871014e-01,5
1.90688998e-01,-2.91797012e-01,-3.95694003e-02,3.07871014e-01,5
1.39419004e-01,-2.72320986e-01,-3.20887007e-02,2.93457001e-01,5
1.39419004e-01,-2.72320986e-01,-3.20887007e-02,2.93457001e-01,5
1.58591002e-01,-2.59606004e-01,-3.31351012e-02,3.09621006e-01,5
1.58591002e-01,-2.59606004e-01,-3.31351012e-02,3.09621006e-01,5
1.58591002e-01,-2.59606004e-01,-3.31351012e-02,3.09621006e-01,5
1.38814002e-01,-9.23298001e-02,2.41955998e-03,3.11522990e-01,5
1.38814002e-01,-9.23298001e-02,2.41955998e-03,3.11522990e-01,5
1.09200999e-01,-6.50127977e-02,-1.54833996e-03,3.11908990e-01,5
1.09200999e-01,-6.50127977e-02,-1.54833996e-03,3.11908990e-01,5
2.11829007e-01,-2.44714007e-01,-1.25775002e-02,3.01191986e-01,5
2.11829007e-01,-2.44714007e-01,-1.25775002e-02,3.01191986e-01,5
2.11829007e-01,-2.44714007e-01,-1.25775002e-02,3.01191986e-01,5
2.75788993e-01,-3.23745996e-01,-1.24589000e-02,3.04387987e-01,5
2.75788993e-01,-3.23745996e-01,-1.24589000e-02,3.04387987e-01,5
2.89642006e-01,-3.40476990e-01,-2.02651005e-02,3.00471991e-01,5
2.89642006e-01,-3.40476990e-01,-2.02651005e-02,3.00471991e-01,5
3.31988007e-01,-3.72790992e-01,-2.61909999e-02,3.10566008e-01,5
3.31988007e-01,-3.72790992e-01,-2.61909999e-02,3.10566008e-01,5
4.60353009e-02,-3.10695004e-02,-3.29894992e-03,3.03263992e-01,5
4.60353009e-02,-3.10695004e-02,-3.29894992e-03,3.03263992e-01,5
1.25974998e-01,-1.02196999e-01,-1.03484001e-02,3.01618993e-01,5
1.25974998e-01,-1.02196999e-01,-1.03484001e-02,3.01618993e-01,5
5.18162996e-02,-3.72857004e-02,-3.93434009e-03,3.01306993e-01,5
5.18162996e-02,-3.72857004e-02,-3.93434009e-03,3.01306993e-01,5
5.18162996e-02,-3.72857004e-02,-3.93434009e-03,3.01306993e-01,5
3.11378986e-01,-3.44363004e-01,-1.97203998e-02,3.02585989e-01,5
3.11378986e-01,-3.44363004e-01,-1.97203998e-02,3.02585989e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
1.84664994e-01,-3.09300005e-01,-5.36617003e-02,2.97293991e-01,5
2.48521000e-01,-3.49613011e-01,-4.36049998e-02,3.00585985e-01,5
