label,arc_len_mm,r_mean_mm,R0_arith,R0_harm,R_1D,in_CFD_domain,R0_arith_mmHg,R0_harm_mmHg,R_1D_mmHg
1,18.24,2.1647,7404032.848323509,8068108.895026029,7979322.483566353,★,0.05553496683460726,0.060515960569343615,0.05985000587724722
2,36.12,1.0922,226230830.87699783,311844094.2725176,314746864.2809521,★,1.696875465992093,2.339029524553469,2.3608021502899152
3,33.52,1.4212,73212400.33452828,102585022.84492868,96752401.66748472,,0.5491396793817096,0.7694530748483273,0.7257046974054149
4,31.92,2.3509,9313189.360288449,13360084.981816856,13141413.58437054,,0.0698548578650819,0.10020915514181349,0.09856898024609997
5,17.81,1.9069,12002551.690195814,19692096.302338373,19945742.67693928,,0.09002678995361467,0.1477032770460867,0.14960578656890294
6,32.71,2.3611,9380337.695657996,11666126.00663629,11564230.5682485,,0.07035851319105621,0.08750338283731335,0.08673910208554102
7,16.91,1.8169,13831354.805069271,14309077.641462598,14311063.690465793,,0.10374397927625802,0.10732720512340498,0.1073421017571428
8,6.61,1.4272,14196172.345426379,15144883.282824699,14982303.010907382,★,0.10648034341988853,0.11359628030501118,0.11237682461189738
9,10.19,0.4464,2287637678.9711375,20853777125.63695,24378256464.05167,,17.158741085275782,156.41662385530483,182.85246593999244
10,1.68,1.8893,1176555.8066128264,1200075.7318056233,1300059.9876136815,,0.008824918667682952,0.009001333101855833,0.009751278765797703
11,34.67,1.5682,51091908.04975666,55727934.872082256,55250899.62725515,,0.3832218842333348,0.41799504111911207,0.41441697264708866
12,31.67,1.6339,39597046.723562494,44956434.301506884,43821767.24066373,,0.29700309568985234,0.3372019194244527,0.3286911930563878
