"U:0","U:1","U:2","p","Cell Type"
1.58793002e-03,4.11840994e-03,-1.44730997e-03,8.82693976e-02,5
1.58793002e-03,4.11840994e-03,-1.44730997e-03,8.82693976e-02,5
6.15348993e-03,1.38993002e-02,-4.37544007e-03,8.88497010e-02,5
2.81245005e-03,5.33758011e-03,-2.27212999e-03,8.92784968e-02,5
8.64042994e-03,2.79013999e-02,-8.06218013e-03,8.79667029e-02,5
8.64042994e-03,2.79013999e-02,-8.06218013e-03,8.79667029e-02,5
3.14014009e-03,7.68173998e-03,-1.44963001e-03,8.80447999e-02,5
3.14014009e-03,7.68173998e-03,-1.44963001e-03,8.80447999e-02,5
4.49192990e-03,1.40468003e-02,-2.86041992e-03,8.79611000e-02,5
4.49192990e-03,1.40468003e-02,-2.86041992e-03,8.79611000e-02,5
6.69464003e-04,1.99623010e-03,-2.00420007e-04,8.78178999e-02,5
1.28268998e-03,4.52564005e-03,-6.30562019e-04,8.78638029e-02,5
3.20525002e-03,1.35017997e-02,-3.32403998e-03,8.80051032e-02,5
3.20525002e-03,1.35017997e-02,-3.32403998e-03,8.80051032e-02,5
1.29883003e-03,5.27318008e-03,-5.80392021e-04,8.80028009e-02,5
1.29883003e-03,5.27318008e-03,-5.80392021e-04,8.80028009e-02,5
1.05832005e-03,3.89562990e-03,-9.27864021e-05,8.78364965e-02,5
1.05832005e-03,3.89562990e-03,-9.27864021e-05,8.78364965e-02,5
7.45107012e-04,2.63867993e-03,-5.48583994e-05,8.78416002e-02,5
7.45107012e-04,2.63867993e-03,-5.48583994e-05,8.78416002e-02,5
4.70326003e-03,1.90345999e-02,-4.77077998e-03,8.80384967e-02,5
4.70326003e-03,1.90345999e-02,-4.77077998e-03,8.80384967e-02,5
3.34583991e-03,1.21935997e-02,-1.68336998e-03,8.79677981e-02,5
3.34583991e-03,1.21935997e-02,-1.68336998e-03,8.79677981e-02,5
2.43552006e-03,8.97234026e-03,-1.16721995e-03,8.79468992e-02,5
2.43552006e-03,8.97234026e-03,-1.16721995e-03,8.79468992e-02,5
3.27737012e-04,1.19435997e-03,-9.59364988e-05,8.78963023e-02,5
3.27737012e-04,1.19435997e-03,-9.59364988e-05,8.78963023e-02,5
1.04136998e-03,-1.54478999e-04,-2.16693990e-03,8.20181966e-02,5
4.02540015e-03,-1.86179997e-03,-5.26497001e-03,8.18938985e-02,5
4.02540015e-03,-1.86179997e-03,-5.26497001e-03,8.18938985e-02,5
2.06437008e-03,-1.90303999e-03,-3.02346004e-03,8.25517029e-02,5
2.06437008e-03,-1.90303999e-03,-3.02346004e-03,8.25517029e-02,5
8.14655982e-03,-1.02121998e-02,-4.23735986e-03,8.25847983e-02,5
8.14655982e-03,-1.02121998e-02,-4.23735986e-03,8.25847983e-02,5
3.51318009e-02,-6.73796982e-02,1.67546999e-02,8.43932033e-02,5
3.51318009e-02,-6.73796982e-02,1.67546999e-02,8.43932033e-02,5
1.83950998e-02,-5.15206009e-02,5.06498013e-03,8.48859996e-02,5
1.83950998e-02,-5.15206009e-02,5.06498013e-03,8.48859996e-02,5
1.83950998e-02,-5.15206009e-02,5.06498013e-03,8.48859996e-02,5
5.70537001e-02,-1.23648003e-01,4.17940989e-02,8.44485983e-02,5
5.70537001e-02,-1.23648003e-01,4.17940989e-02,8.44485983e-02,5
3.66256014e-02,-8.02173987e-02,1.33413998e-02,8.45277980e-02,5
3.66256014e-02,-8.02173987e-02,1.33413998e-02,8.45277980e-02,5
5.69989011e-02,-1.28517002e-01,3.21981013e-02,8.49146023e-02,5
5.69989011e-02,-1.28517002e-01,3.21981013e-02,8.49146023e-02,5
3.90583999e-03,-2.59361006e-02,-1.56872999e-02,8.51055980e-02,5
3.90583999e-03,-2.59361006e-02,-1.56872999e-02,8.51055980e-02,5
3.90583999e-03,-2.59361006e-02,-1.56872999e-02,8.51055980e-02,5
3.90583999e-03,-2.59361006e-02,-1.56872999e-02,8.51055980e-02,5
9.16916970e-03,-8.53404962e-03,-1.98171008e-02,8.51093978e-02,5
9.16916970e-03,-8.53404962e-03,-1.98171008e-02,8.51093978e-02,5
9.16916970e-03,-8.53404962e-03,-1.98171008e-02,8.51093978e-02,5
1.67183001e-02,-4.85110004e-03,-2.65896004e-02,8.51280987e-02,5
1.67183001e-02,-4.85110004e-03,-2.65896004e-02,8.51280987e-02,5
8.43340997e-03,-2.85491999e-02,-2.00899001e-02,8.50552991e-02,5
8.43340997e-03,-2.85491999e-02,-2.00899001e-02,8.50552991e-02,5
1.20193996e-02,-3.89396995e-02,8.29267036e-03,8.82982984e-02,5
1.20193996e-02,-3.89396995e-02,8.29267036e-03,8.82982984e-02,5
3.30917984e-02,-7.27368966e-02,2.90565994e-02,8.92122984e-02,5
1.10127004e-02,-3.26292999e-02,9.27662011e-03,8.90759975e-02,5
1.10127004e-02,-3.26292999e-02,9.27662011e-03,8.90759975e-02,5
1.10127004e-02,-3.26292999e-02,9.27662011e-03,8.90759975e-02,5
2.44082008e-02,6.22495003e-02,-4.42144014e-02,8.61181989e-02,5
2.44082008e-02,6.22495003e-02,-4.42144014e-02,8.61181989e-02,5
2.44082008e-02,6.22495003e-02,-4.42144014e-02,8.61181989e-02,5
1.35602001e-02,3.53032015e-02,-3.32105011e-02,8.56088996e-02,5
1.35602001e-02,3.53032015e-02,-3.32105011e-02,8.56088996e-02,5
1.35602001e-02,3.53032015e-02,-3.32105011e-02,8.56088996e-02,5
1.35602001e-02,3.53032015e-02,-3.32105011e-02,8.56088996e-02,5
2.48658005e-02,5.22653982e-02,-4.46058996e-02,8.57646018e-02,5
