"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.026796,-0.059943,0.010466,0.084632,0.01461,-0.034761,-0.0063789
0.023077,-0.048061,0.0098194,0.084506,0.014611,-0.034769,-0.0065051
0.013779,-0.039354,0.0037566,0.084674,0.014482,-0.034822,-0.0063787
0.012688,-0.031402,0.0032757,0.084453,0.014485,-0.034829,-0.0065048
0.009231,-0.028936,0.0018531,0.084423,0.014483,-0.034825,-0.0064419
0.11959,-0.21532,0.039092,0.084666,0.014996,-0.034569,-0.0062538
0.15717,-0.2747,0.073382,0.083669,0.014996,-0.034587,-0.0065071
0.20854,-0.33503,0.057808,0.084406,0.015143,-0.0345,-0.0062542
0.25101,-0.41069,0.081032,0.082918,0.015179,-0.0345,-0.0065072
0.017663,-0.085991,-0.00096949,0.085023,0.014571,-0.034753,-0.0059979
0.011332,-0.08076,-0.0049566,0.085042,0.014548,-0.034755,-0.0058703
0.011287,-0.065486,-0.0016023,0.084995,0.014481,-0.034796,-0.0059968
0.005836,-0.059173,-0.0040321,0.08489,0.014484,-0.034785,-0.0058688
0.0075091,-0.059799,-0.0028393,0.084931,0.014482,-0.034791,-0.0059323
0.052629,-0.1555,-0.0069455,0.085356,0.014997,-0.034534,-0.0057492
0.16594,-0.30769,0.036091,0.0858,0.015108,-0.034499,-0.0060015
0.10363,-0.21726,0.017777,0.085216,0.014997,-0.034552,-0.0060011
0.077469,-0.18224,0.0020648,0.086518,0.015074,-0.034498,-0.0057494
0.0051693,-0.033624,-0.012579,0.084935,0.014508,-0.034749,-0.0054999
0.0060366,-0.021293,-0.010979,0.084888,0.0145,-0.034749,-0.0054417
0.0062123,-0.022714,-0.0078401,0.084676,0.014498,-0.034754,-0.0054999
0.035129,0.0020331,-0.040549,0.084665,0.014996,-0.0345,-0.0052473
0.021456,-0.053307,-0.028706,0.086565,0.01504,-0.034496,-0.0054982
0.022885,-0.054862,-0.027692,0.08489,0.014997,-0.034517,-0.0054981
0.016681,0.020492,-0.041896,0.086999,0.015004,-0.034496,-0.0052473
0.0012941,-0.0078796,0.0079409,0.089404,0.016017,-0.033998,-0.0049934
0.0027304,-0.0071721,0.0062142,0.089216,0.016017,-0.033998,-0.0049932
-0.0010119,-0.00094717,0.0073045,0.08913,0.016019,-0.033993,-0.0049292
0.00013559,-0.0034632,0.0069285,0.089237,0.01608,-0.033968,-0.0049929
-0.00073463,-0.00056659,0.0040806,0.089194,0.016083,-0.033962,-0.0049284
-0.0019733,-0.021284,-0.0037292,0.084553,0.01437,-0.034823,-0.0056271
-0.0012385,-0.017925,-0.0036611,0.084556,0.014373,-0.034817,-0.0055639
-0.00043697,-0.031532,-0.0056506,0.0847,0.014432,-0.034793,-0.0056248
0.0023594,-0.041122,-0.0071344,0.084739,0.014494,-0.034764,-0.0056238
0.00031306,-0.017833,-0.0045987,0.084597,0.014376,-0.034812,-0.0055009
0.0048936,-0.004165,-0.0072971,0.084591,0.014377,-0.034802,-0.0053755
0.0057776,-0.010117,-0.010517,0.084915,0.014491,-0.034748,-0.0053753
0.0029314,-0.011115,-0.0057669,0.084569,0.014377,-0.034807,-0.0054382
0.0038177,-0.016072,-0.0091111,0.084893,0.0145,-0.034749,-0.0054378
-6.6848e-05,-0.0021098,0.005342,0.089096,0.016001,-0.033997,-0.0048656
-0.0014251,0.0005741,0.0046215,0.089107,0.016019,-0.033988,-0.0048656
0.0049558,0.014586,-0.0068574,0.088428,0.015407,-0.034244,-0.0043569
0.0083644,0.024353,-0.014299,0.08851,0.01543,-0.034242,-0.0044887
0.0014739,0.010867,-0.0045061,0.088514,0.015507,-0.034196,-0.0043559
0.0029302,0.01868,-0.010076,0.088587,0.015505,-0.034206,-0.0044886
0.0013036,0.01057,-0.0043665,0.088648,0.015639,-0.034143,-0.0044906
0.00061361,0.0061581,-0.0019248,0.088516,0.015642,-0.034133,-0.004359
0.0012456,0.0078605,-0.0029744,0.088562,0.015641,-0.034137,-0.0044257
0.022732,-0.045003,0.010206,0.084257,0.014612,-0.034777,-0.0066306
0.0077914,-0.020748,0.00049828,0.083871,0.014488,-0.034836,-0.0066292
0.0079253,-0.021521,0.00088714,0.084124,0.014487,-0.034832,-0.006567
0.014664,-0.033649,0.0039461,0.084276,0.01455,-0.034807,-0.00663
0.16808,-0.37556,0.10853,0.081439,0.014996,-0.034604,-0.0067601
0.17765,-0.33777,0.096911,0.083103,0.014994,-0.034596,-0.0066338
0.22053,-0.46823,0.109,0.080557,0.015124,-0.034543,-0.00676
0.25702,-0.48849,0.099484,0.080487,0.015217,-0.034499,-0.0067596
0.32835,-0.54941,0.092637,0.082547,0.015255,-0.034464,-0.0065072
