segment_id,s_mid_m,flow_start_m3_s,flow_end_m3_s,flow_mean_m3_s,flow_mean_mL_s
V000,0.0004486588761210437,1.021374473892861e-06,1.015626272802445e-06,1.018500373347653e-06,1.018500373347653
V001,0.001345976628363131,1.020477070237349e-06,1.02047487274722e-06,1.020475971492285e-06,1.020475971492285
V002,0.002243294380605219,1.020404993455788e-06,1.020368605055525e-06,1.020386799255656e-06,1.020386799255656
V003,0.003140612132847306,1.020435123685453e-06,1.020427486617384e-06,1.020431305151418e-06,1.020431305151418
V004,0.004037929885089393,1.020462900460262e-06,1.020462882325372e-06,1.020462891392817e-06,1.020462891392817
V005,0.004935247637331481,1.019776560983478e-06,1.018789896604661e-06,1.01928322879407e-06,1.01928322879407
V006,0.005832565389573568,1.019653110946661e-06,1.01952620361035e-06,1.019589657278506e-06,1.019589657278506
V007,0.006729883141815655,1.019681930719736e-06,1.019658359033832e-06,1.019670144876784e-06,1.019670144876784
V008,0.007627200894057743,1.019666351899688e-06,1.019640542935757e-06,1.019653447417723e-06,1.019653447417723
V009,0.008524518646299831,1.019296885060765e-06,1.019423182645135e-06,1.01936003385295e-06,1.01936003385295
V010,0.009421836398541918,1.019670529652762e-06,1.019596835376251e-06,1.019633682514506e-06,1.019633682514506
V011,0.01031915415078401,1.01921828020486e-06,1.018402533886644e-06,1.018810407045752e-06,1.018810407045752
V012,0.01121647190302609,1.019189804352101e-06,1.0191900115408e-06,1.01918990794645e-06,1.01918990794645
V013,0.01211378965526818,1.019170461159305e-06,1.019151801043096e-06,1.0191611311012e-06,1.0191611311012
V014,0.01301110740751027,1.008670409653088e-06,1.034944435965765e-06,1.021807422809427e-06,1.021807422809426
V015,0.01390842515975236,1.038797927161491e-06,1.039222104152563e-06,1.039010015657027e-06,1.039010015657027
V016,0.01480574291199444,1.038578695932662e-06,1.036768328548798e-06,1.03767351224073e-06,1.03767351224073
V017,0.01570306066423653,1.038509386087347e-06,1.038491928045616e-06,1.038500657066481e-06,1.038500657066481
V018,0.01660037841647862,1.038519967696215e-06,1.038516068606267e-06,1.038518018151241e-06,1.038518018151241
V019,0.0174976961687207,1.038525044728561e-06,1.038521043179713e-06,1.038523043954137e-06,1.038523043954137
V020,0.01839501392096279,1.038497425814576e-06,1.038484753523327e-06,1.038491089668951e-06,1.038491089668951
V021,0.01929233167320488,1.038341080276472e-06,1.038203541120945e-06,1.038272310698708e-06,1.038272310698708
V022,0.02018964942544697,1.038436153637318e-06,1.038436392744022e-06,1.03843627319067e-06,1.03843627319067
V023,0.02108696717768906,1.038395099283734e-06,1.03837871752548e-06,1.038386908404607e-06,1.038386908404607
V024,0.02198428492993114,1.038416505261925e-06,1.038415177306385e-06,1.038415841284155e-06,1.038415841284155
V025,0.02288160268217323,1.038259143467214e-06,1.038125512081168e-06,1.038192327774191e-06,1.038192327774191
V026,0.02377892043441532,1.038294477634912e-06,1.038273599513374e-06,1.038284038574143e-06,1.038284038574143
V027,0.02467623818665741,1.038318346856289e-06,1.038311854122933e-06,1.038315100489611e-06,1.038315100489611
V028,0.02557355593889949,1.038195218986354e-06,1.038096384376306e-06,1.03814580168133e-06,1.03814580168133
V029,0.02647087369114158,1.038208239940036e-06,1.038193706546718e-06,1.038200973243377e-06,1.038200973243377
V030,0.02736819144338367,1.037917438697726e-06,1.037505955331545e-06,1.037711697014635e-06,1.037711697014635
V031,0.02826550919562575,1.037697275052937e-06,1.037734830869401e-06,1.037716052961169e-06,1.037716052961169
V032,0.02916282694786784,1.037942200999754e-06,1.037909877602632e-06,1.037926039301193e-06,1.037926039301193
V033,0.03006014470010993,1.037885266494821e-06,1.037871463806614e-06,1.037878365150718e-06,1.037878365150718
V034,0.03095746245235202,1.037965851527005e-06,1.037967364960231e-06,1.037966608243618e-06,1.037966608243618
V035,0.0318547802045941,1.036285745418026e-06,1.030659733112913e-06,1.033472739265469e-06,1.033472739265469
V036,0.03275209795683619,1.034020750465578e-06,1.033998268705803e-06,1.034009509585691e-06,1.03400950958569
V037,0.03364941570907828,1.033373967133979e-06,1.03385847099624e-06,1.033616219065109e-06,1.033616219065109
V038,0.03454673346132037,1.033314638627365e-06,1.03438903454493e-06,1.033851836586147e-06,1.033851836586147
V039,0.03544405121356245,1.035186585700202e-06,1.035212681184121e-06,1.035199633442161e-06,1.035199633442161
