segment_id,distance_from_inlet_mm,global_s_mm,flow_start_m3_s,flow_end_m3_s,flow_mean_m3_s,flow_mean_mL_s
V000,0.2027638227172709,19.874362015345383,1.021374473887895e-06,1.021374467902572e-06,1.021374470895233e-06,1.021374470895233
V001,0.6082914681518128,20.279889660779926,1.021374467622058e-06,1.021374467120944e-06,1.021374467371501e-06,1.021374467371501
V002,1.013819113586355,20.685417306214468,1.021374350309706e-06,1.021374308371387e-06,1.021374329340546e-06,1.021374329340546
V003,1.4193467590208948,21.090944951649007,1.021374349721731e-06,1.021374320484801e-06,1.021374335103266e-06,1.021374335103266
V004,1.824874404455435,21.49647259708355,1.021374383937498e-06,1.021374374917478e-06,1.021374379427488e-06,1.021374379427488
V005,2.230402049889977,21.902000242518092,1.021374403467886e-06,1.021374399141368e-06,1.021374401304627e-06,1.021374401304627
V006,2.635929695324519,22.30752788795263,1.021374392983905e-06,1.021374386626789e-06,1.021374389805347e-06,1.021374389805347
V007,3.0414573407590613,22.713055533387177,1.021374404900723e-06,1.021374405601848e-06,1.021374405251285e-06,1.021374405251285
V008,3.4469849861936033,23.118583178821716,1.02137319813703e-06,1.021371823337852e-06,1.021372510737441e-06,1.021372510737441
V009,3.8525126316281426,23.524110824256255,1.02137241351868e-06,1.021371129063425e-06,1.021371771291052e-06,1.021371771291052
V010,4.258040277062683,23.929638469690797,1.021372601975424e-06,1.021372564736747e-06,1.021372583356086e-06,1.021372583356086
V011,4.663567922497225,24.33516611512534,1.021372669096619e-06,1.021372653184765e-06,1.021372661140692e-06,1.021372661140692
V012,5.069095567931766,24.74069376055988,1.021372664620393e-06,1.021372651608751e-06,1.021372658114572e-06,1.021372658114572
V013,5.474623213366309,25.146221405994424,1.021372667112069e-06,1.021372664881325e-06,1.021372665996697e-06,1.021372665996697
V014,5.880150858800851,25.551749051428963,1.021372123580019e-06,1.021371664742564e-06,1.021371894161292e-06,1.021371894161291
V015,6.285678504235392,25.957276696863506,1.021372374645796e-06,1.021372374919339e-06,1.021372374782568e-06,1.021372374782568
V016,6.691206149669934,26.36280434229805,1.021371708633562e-06,1.021371718335939e-06,1.021371713484751e-06,1.021371713484751
V017,7.096733795104473,26.768331987732587,1.021372135562524e-06,1.02137206926507e-06,1.021372102413797e-06,1.021372102413797
V018,7.502261440539015,27.17385963316713,1.021370674451332e-06,1.021368458399806e-06,1.021369566425569e-06,1.021369566425569
V019,7.9077890859735565,27.579387278601672,1.021370602847964e-06,1.021370464284285e-06,1.021370533566125e-06,1.021370533566125
V020,8.313316731408099,27.98491492403621,1.021370092263442e-06,1.021370071160205e-06,1.021370081711823e-06,1.021370081711823
V021,8.71884437684264,28.390442569470753,1.021370120783429e-06,1.021370109219944e-06,1.021370115001687e-06,1.021370115001687
V022,9.12437202227718,28.795970214905296,1.021370571039435e-06,1.021370534466868e-06,1.021370552753152e-06,1.021370552753152
V023,9.529899667711721,29.201497860339835,1.021370487073764e-06,1.021370398550518e-06,1.021370442812141e-06,1.021370442812141
V024,9.935427313146263,29.607025505774377,1.021369470317694e-06,1.021368075293602e-06,1.021368772805648e-06,1.021368772805648
V025,10.340954958580799,30.012553151208913,1.021369586160014e-06,1.021369535370166e-06,1.02136956076509e-06,1.02136956076509
V026,10.74648260401535,30.418080796643466,1.021367278426066e-06,1.021368267737749e-06,1.021367773081907e-06,1.021367773081907
V027,11.15201024944989,30.823608442078005,1.021370117392714e-06,1.021370076758059e-06,1.021370097075386e-06,1.021370097075386
V028,11.55753789488443,31.229136087512543,1.021369457815782e-06,1.021368700879001e-06,1.021369079347392e-06,1.021369079347392
V029,11.96306554031897,31.634663732947082,1.021365778306496e-06,1.021356095846651e-06,1.021360937076574e-06,1.021360937076574
V030,12.368593185753511,32.04019137838162,1.021359821710555e-06,1.021349989019674e-06,1.021354905365115e-06,1.021354905365115
V031,12.77412083118805,32.44571902381617,1.021357069017579e-06,1.021356843336172e-06,1.021356956176876e-06,1.021356956176876
V032,13.17964847662259,32.851246669250706,1.021355485547237e-06,1.02135558405171e-06,1.021355534799474e-06,1.021355534799474
V033,13.58517612205713,33.256774314685245,1.021353280142853e-06,1.021355160650502e-06,1.021354220396677e-06,1.021354220396677
V034,13.99070376749167,33.662301960119784,1.021356959574224e-06,1.021357169413189e-06,1.021357064493706e-06,1.021357064493706
V035,14.39623141292622,34.06782960555434,1.021356444914946e-06,1.021357099138325e-06,1.021356772026635e-06,1.021356772026635
V036,14.80175905836076,34.473357250988876,1.021355574071154e-06,1.02135737455437e-06,1.021356474312762e-06,1.021356474312762
V037,15.207286703795301,34.878884896423415,1.021358162074943e-06,1.021358841857501e-06,1.021358501966222e-06,1.021358501966222
V038,15.61281434922984,35.284412541857954,1.021359578353229e-06,1.021359710680552e-06,1.02135964451689e-06,1.02135964451689
V039,16.01834199466438,35.68994018729249,1.021360319635691e-06,1.021360305118674e-06,1.021360312377183e-06,1.021360312377183
