metric,value,units
run_completed,1,bool
number_of_1d_models,1,-
number_of_0d_models,0,-
number_of_segments,40,-
centreline_arc_length,0.01622110581738165,m
density,1060,kg/m3
kinematic_viscosity,3.3e-06,m2/s
late_time_averaging_window,0.2,s
inlet_pressure_gauge,167.938219208605,Pa
outlet_pressure_gauge,0,Pa
pressure_drop,167.938219208605,Pa
inlet_flow,1.021374473889506e-06,m3/s
outlet_flow,1.021318304399363e-06,m3/s
mean_terminal_flow,1.021346389144435e-06,m3/s
flow_mismatch_percent,0.005499553407125899,%
axial_flow_spread_percent,0.009417947978945129,%
maximum_area_change_percent,0.1259933253727308,%
maximum_velocity,0.6178367844156549,m/s
maximum_configured_CFL,0.9,-
hydraulic_resistance,164428269.3839884,Pa s/m3
