segment_id,s_mid_m,flow_start_m3_s,flow_end_m3_s,flow_mean_m3_s,flow_mean_mL_s
V000,0.0002027638227172709,1.021374473887895e-06,1.021374467902572e-06,1.021374470895233e-06,1.021374470895233
V001,0.0006082914681518128,1.021374467622058e-06,1.021374467120944e-06,1.021374467371501e-06,1.021374467371501
V002,0.001013819113586355,1.021374350309706e-06,1.021374308371387e-06,1.021374329340546e-06,1.021374329340546
V003,0.001419346759020895,1.021374349721731e-06,1.021374320484801e-06,1.021374335103266e-06,1.021374335103266
V004,0.001824874404455435,1.021374383937498e-06,1.021374374917478e-06,1.021374379427488e-06,1.021374379427488
V005,0.002230402049889977,1.021374403467886e-06,1.021374399141368e-06,1.021374401304627e-06,1.021374401304627
V006,0.002635929695324519,1.021374392983905e-06,1.021374386626789e-06,1.021374389805347e-06,1.021374389805347
V007,0.003041457340759061,1.021374404900723e-06,1.021374405601848e-06,1.021374405251285e-06,1.021374405251285
V008,0.003446984986193603,1.02137319813703e-06,1.021371823337852e-06,1.021372510737441e-06,1.021372510737441
V009,0.003852512631628143,1.02137241351868e-06,1.021371129063425e-06,1.021371771291052e-06,1.021371771291052
V010,0.004258040277062683,1.021372601975424e-06,1.021372564736747e-06,1.021372583356086e-06,1.021372583356086
V011,0.004663567922497225,1.021372669096619e-06,1.021372653184765e-06,1.021372661140692e-06,1.021372661140692
V012,0.005069095567931767,1.021372664620393e-06,1.021372651608751e-06,1.021372658114572e-06,1.021372658114572
V013,0.005474623213366309,1.021372667112069e-06,1.021372664881325e-06,1.021372665996697e-06,1.021372665996697
V014,0.005880150858800851,1.021372123580019e-06,1.021371664742564e-06,1.021371894161292e-06,1.021371894161291
V015,0.006285678504235392,1.021372374645796e-06,1.021372374919339e-06,1.021372374782568e-06,1.021372374782568
V016,0.006691206149669934,1.021371708633562e-06,1.021371718335939e-06,1.021371713484751e-06,1.021371713484751
V017,0.007096733795104474,1.021372135562524e-06,1.02137206926507e-06,1.021372102413797e-06,1.021372102413797
V018,0.007502261440539015,1.021370674451332e-06,1.021368458399806e-06,1.021369566425569e-06,1.021369566425569
V019,0.007907789085973557,1.021370602847964e-06,1.021370464284285e-06,1.021370533566125e-06,1.021370533566125
V020,0.008313316731408098,1.021370092263442e-06,1.021370071160205e-06,1.021370081711823e-06,1.021370081711823
V021,0.00871884437684264,1.021370120783429e-06,1.021370109219944e-06,1.021370115001687e-06,1.021370115001687
V022,0.00912437202227718,1.021370571039435e-06,1.021370534466868e-06,1.021370552753152e-06,1.021370552753152
V023,0.009529899667711721,1.021370487073764e-06,1.021370398550518e-06,1.021370442812141e-06,1.021370442812141
V024,0.009935427313146263,1.021369470317694e-06,1.021368075293602e-06,1.021368772805648e-06,1.021368772805648
V025,0.0103409549585808,1.021369586160014e-06,1.021369535370166e-06,1.02136956076509e-06,1.02136956076509
V026,0.01074648260401535,1.021367278426066e-06,1.021368267737749e-06,1.021367773081907e-06,1.021367773081907
V027,0.01115201024944989,1.021370117392714e-06,1.021370076758059e-06,1.021370097075386e-06,1.021370097075386
V028,0.01155753789488443,1.021369457815782e-06,1.021368700879001e-06,1.021369079347392e-06,1.021369079347392
V029,0.01196306554031897,1.021365778306496e-06,1.021356095846651e-06,1.021360937076574e-06,1.021360937076574
V030,0.01236859318575351,1.021359821710555e-06,1.021349989019674e-06,1.021354905365115e-06,1.021354905365115
V031,0.01277412083118805,1.021357069017579e-06,1.021356843336172e-06,1.021356956176876e-06,1.021356956176876
V032,0.01317964847662259,1.021355485547237e-06,1.02135558405171e-06,1.021355534799474e-06,1.021355534799474
V033,0.01358517612205713,1.021353280142853e-06,1.021355160650502e-06,1.021354220396677e-06,1.021354220396677
V034,0.01399070376749167,1.021356959574224e-06,1.021357169413189e-06,1.021357064493706e-06,1.021357064493706
V035,0.01439623141292622,1.021356444914946e-06,1.021357099138325e-06,1.021356772026635e-06,1.021356772026635
V036,0.01480175905836076,1.021355574071154e-06,1.02135737455437e-06,1.021356474312762e-06,1.021356474312762
V037,0.0152072867037953,1.021358162074943e-06,1.021358841857501e-06,1.021358501966222e-06,1.021358501966222
V038,0.01561281434922984,1.021359578353229e-06,1.021359710680552e-06,1.02135964451689e-06,1.02135964451689
V039,0.01601834199466438,1.021360319635691e-06,1.021360305118674e-06,1.021360312377183e-06,1.021360312377183
