segment_id,s_mid_m,flow_start_m3_s,flow_end_m3_s,flow_mean_m3_s,flow_mean_mL_s
V000,0.0004486588761210437,1.021374473892863e-06,1.015632511224716e-06,1.018503492558789e-06,1.018503492558789
V001,0.001345976628363131,1.020489465050102e-06,1.020487881410739e-06,1.02048867323042e-06,1.02048867323042
V002,0.002243294380605219,1.020417844296289e-06,1.020381984681755e-06,1.020399914489022e-06,1.020399914489022
V003,0.003140612132847306,1.020448562860988e-06,1.020441345299301e-06,1.020444954080145e-06,1.020444954080145
V004,0.004037929885089393,1.020476773243334e-06,1.02047712236092e-06,1.020476947802127e-06,1.020476947802127
V005,0.004935247637331481,1.019790336911901e-06,1.018804636027011e-06,1.019297486469456e-06,1.019297486469456
V006,0.005832565389573568,1.019667746012733e-06,1.019540979943784e-06,1.019604362978259e-06,1.019604362978259
V007,0.006729883141815655,1.019696496783545e-06,1.019672740877276e-06,1.01968461883041e-06,1.019684618830411
V008,0.007627200894057743,1.019680892212985e-06,1.01965482378132e-06,1.019667857997153e-06,1.019667857997153
V009,0.008524518646299831,1.019311501730221e-06,1.019438486752317e-06,1.019374994241269e-06,1.019374994241269
V010,0.009421836398541918,1.019685605458864e-06,1.01961194914249e-06,1.019648777300677e-06,1.019648777300677
V011,0.01031915415078401,1.019232855997692e-06,1.018418138428529e-06,1.01882549721311e-06,1.01882549721311
V012,0.01121647190302609,1.019204800838066e-06,1.019205174776412e-06,1.019204987807239e-06,1.019204987807239
V013,0.01211378965526818,1.019185491443075e-06,1.019167106504898e-06,1.019176298973987e-06,1.019176298973987
V014,0.01301110740751027,1.008690057069735e-06,1.03500623812032e-06,1.021848147595027e-06,1.021848147595027
V015,0.01390842515975236,1.038859279333729e-06,1.039283817383662e-06,1.039071548358696e-06,1.039071548358696
V016,0.01480574291199444,1.038639363306772e-06,1.036829941649034e-06,1.037734652477903e-06,1.037734652477903
V017,0.01570306066423653,1.038571445228546e-06,1.038553991195304e-06,1.038562718211925e-06,1.038562718211925
V018,0.01660037841647862,1.038582079503906e-06,1.038578404698512e-06,1.038580242101209e-06,1.038580242101209
V019,0.0174976961687207,1.038587322045512e-06,1.038583755244687e-06,1.038585538645099e-06,1.038585538645099
V020,0.01839501392096279,1.038563793472581e-06,1.038551343532255e-06,1.038557568502418e-06,1.038557568502418
V021,0.01929233167320488,1.038407642066778e-06,1.03827018378154e-06,1.038338912924159e-06,1.038338912924159
V022,0.02018964942544697,1.038502816780181e-06,1.03850273053268e-06,1.038502773656431e-06,1.038502773656431
V023,0.02108696717768906,1.038461477291135e-06,1.038444660921241e-06,1.038453069106188e-06,1.038453069106188
V024,0.02198428492993114,1.03848248068108e-06,1.038480545518473e-06,1.038481513099777e-06,1.038481513099776
V025,0.02288160268217323,1.038324183515049e-06,1.038190235958763e-06,1.038257209736906e-06,1.038257209736906
V026,0.02377892043441532,1.038359208591651e-06,1.03833809838861e-06,1.03834865349013e-06,1.03834865349013
V027,0.02467623818665741,1.038382870861628e-06,1.038376261290087e-06,1.038379566075858e-06,1.038379566075858
V028,0.02557355593889949,1.038259489368606e-06,1.038160761276304e-06,1.038210125322455e-06,1.038210125322455
V029,0.02647087369114158,1.03827287041956e-06,1.038258289118144e-06,1.038265579768852e-06,1.038265579768852
V030,0.02736819144338367,1.037982025477608e-06,1.037570667078894e-06,1.037776346278251e-06,1.037776346278251
V031,0.02826550919562575,1.03776195650922e-06,1.037799600007542e-06,1.037780778258381e-06,1.037780778258381
V032,0.02916282694786784,1.038006792684245e-06,1.03797367877628e-06,1.037990235730263e-06,1.037990235730263
V033,0.03006014470010993,1.03794909283254e-06,1.037934699828835e-06,1.037941896330688e-06,1.037941896330688
V034,0.03095746245235202,1.038029184072619e-06,1.038029948038643e-06,1.038029566055631e-06,1.038029566055631
V035,0.0318547802045941,1.036347055963936e-06,1.030724375094544e-06,1.03353571552924e-06,1.03353571552924
V036,0.03275209795683619,1.034086073103373e-06,1.034064551927587e-06,1.03407531251548e-06,1.03407531251548
V037,0.03364941570907828,1.033439255631817e-06,1.033926685558908e-06,1.033682970595363e-06,1.033682970595363
V038,0.03454673346132037,1.033382808616281e-06,1.034460696407077e-06,1.033921752511679e-06,1.033921752511679
V039,0.03544405121356245,1.035258221560546e-06,1.035284916489888e-06,1.035271569025217e-06,1.035271569025217
