segment_id,s_mid_m,flow_start_m3_s,flow_end_m3_s,flow_mean_m3_s,flow_mean_mL_s
V000,0.0004486588761210437,1.021374473892862e-06,1.015629160050112e-06,1.018501816971487e-06,1.018501816971487
V001,0.001345976628363131,1.02048266007503e-06,1.020480471811695e-06,1.020481565943362e-06,1.020481565943362
V002,0.002243294380605219,1.020410601341329e-06,1.020374207271671e-06,1.0203924043065e-06,1.0203924043065
V003,0.003140612132847306,1.020440685468343e-06,1.020432939129377e-06,1.02043681229886e-06,1.02043681229886
V004,0.004037929885089393,1.02046836598914e-06,1.020468222672652e-06,1.020468294330896e-06,1.020468294330896
V005,0.004935247637331481,1.019782094924564e-06,1.018795634744061e-06,1.019288864834313e-06,1.019288864834313
V006,0.005832565389573568,1.019658989092184e-06,1.019532002156365e-06,1.019595495624275e-06,1.019595495624275
V007,0.006729883141815655,1.019687599214982e-06,1.019663825831283e-06,1.019675712523132e-06,1.019675712523132
V008,0.007627200894057743,1.019671945350813e-06,1.019645908403714e-06,1.019658926877264e-06,1.019658926877264
V009,0.008524518646299831,1.019302451917401e-06,1.019428935852667e-06,1.019365693885034e-06,1.019365693885034
V010,0.009421836398541918,1.019676252292814e-06,1.01960240328433e-06,1.019639327788572e-06,1.019639327788572
V011,0.01031915415078401,1.019223929266453e-06,1.018408485632311e-06,1.018816207449382e-06,1.018816207449382
V012,0.01121647190302609,1.019194910636695e-06,1.019195013039471e-06,1.019194961838083e-06,1.019194961838083
V013,0.01211378965526818,1.01917522212236e-06,1.019156558902898e-06,1.019165890512629e-06,1.01916589051263
V014,0.01301110740751027,1.008677175284723e-06,1.034970941849252e-06,1.021824058566987e-06,1.021824058566987
V015,0.01390842515975236,1.038824207137472e-06,1.039248631326085e-06,1.039036419231778e-06,1.039036419231778
V016,0.01480574291199444,1.038603723655609e-06,1.036793425459504e-06,1.037698574557557e-06,1.037698574557557
V017,0.01570306066423653,1.038535735237342e-06,1.038517756156923e-06,1.038526745697132e-06,1.038526745697133
V018,0.01660037841647862,1.038545793916549e-06,1.038541609754213e-06,1.038543701835381e-06,1.038543701835381
V019,0.0174976961687207,1.038550562348541e-06,1.038546536352288e-06,1.038548549350415e-06,1.038548549350415
V020,0.01839501392096279,1.038524482121628e-06,1.038511661996444e-06,1.038518072059036e-06,1.038518072059036
V021,0.01929233167320488,1.038368148877589e-06,1.038230516865336e-06,1.038299332871462e-06,1.038299332871462
V022,0.02018964942544697,1.038462998946753e-06,1.038463540585863e-06,1.038463269766308e-06,1.038463269766308
V023,0.02108696717768906,1.038422221332106e-06,1.0384064895407e-06,1.038414355436403e-06,1.038414355436402
V024,0.02198428492993114,1.038444292670342e-06,1.038443398584615e-06,1.038443845627478e-06,1.038443845627478
V025,0.02288160268217323,1.038287253163731e-06,1.038153882483627e-06,1.038220567823679e-06,1.038220567823679
V026,0.02377892043441532,1.038322842514914e-06,1.038302136173931e-06,1.038312489344422e-06,1.038312489344422
V027,0.02467623818665741,1.038346778556077e-06,1.038340574578413e-06,1.038343676567245e-06,1.038343676567245
V028,0.02557355593889949,1.038223873228333e-06,1.038125352440888e-06,1.03817461283461e-06,1.038174612834611
V029,0.02647087369114158,1.038237331423073e-06,1.038222681825693e-06,1.038230006624383e-06,1.038230006624383
V030,0.02736819144338367,1.037947142072902e-06,1.03753546401927e-06,1.037741303046086e-06,1.037741303046086
V031,0.02826550919562575,1.037726910179867e-06,1.037764379746277e-06,1.037745644963072e-06,1.037745644963072
V032,0.02916282694786784,1.03797152603599e-06,1.037938836014014e-06,1.037955181025002e-06,1.037955181025002
V033,0.03006014470010993,1.037914237291962e-06,1.037899960704471e-06,1.037907098998216e-06,1.037907098998216
V034,0.03095746245235202,1.037994328709544e-06,1.03799501212078e-06,1.037994670415162e-06,1.037994670415162
V035,0.0318547802045941,1.036313361058092e-06,1.030688580854102e-06,1.033500970956097e-06,1.033500970956097
V036,0.03275209795683619,1.034049677167875e-06,1.034027788430251e-06,1.034038732799063e-06,1.034038732799063
V037,0.03364941570907828,1.033403027180582e-06,1.033888886096483e-06,1.033645956638532e-06,1.033645956638532
V038,0.03454673346132037,1.033344966207285e-06,1.034420815553442e-06,1.033882890880363e-06,1.033882890880363
V039,0.03544405121356245,1.035218558032299e-06,1.035244759512023e-06,1.035231658772161e-06,1.035231658772161
