point_id,s_m,distance_from_inlet_mm,radius_nominal_m,pressure_absolute_Pa,pressure_gauge_Pa,pressure_gauge_mmHg,flow_m3_s,flow_mL_s,area_m2,velocity_m_s
0,0,0,0.0017832203084366,100657.2591282586,657.2591282585781,4.929848892712272,1.021374473892862e-06,1.021374473892862,1.00391763655368e-05,0.1017388827003098
1,0.0008973177522420874,0.8973177522420874,0.001317534034631694,100616.4105063981,616.4105063980824,4.623459031256348,1.015629160050112e-06,1.015629160050112,5.478719053281441e-06,0.1853771411053894
2,0.001794635504484175,1.794635504484175,0.00134815117593261,100625.681394843,625.6813948430354,4.692996413347799,1.020480471811695e-06,1.020480471811694,5.736706893811702e-06,0.1778861288133425
3,0.002691953256726262,2.691953256726262,0.001279262230545742,100618.20580248,618.2058024799771,4.636924859300257,1.020374207271671e-06,1.020374207271671,5.165119015889839e-06,0.1975509802820143
4,0.00358927100896835,3.58927100896835,0.001239188300540564,100612.0693028764,612.0693028764363,4.590897326969442,1.020432939129377e-06,1.020432939129377,4.84636192317636e-06,0.2105565124355295
5,0.004486588761210437,4.486588761210437,0.001238630277988451,100608.6966453593,608.696645359305,4.565600315164706,1.020468222672652e-06,1.020468222672652,4.841875943323701e-06,0.210758880302986
6,0.005383906513452524,5.383906513452525,0.001058711878961973,100572.5708996153,572.5708996152971,4.29463493789202,1.018795634744061e-06,1.018795634744061,3.536457444458705e-06,0.2880837184235021
7,0.006281224265694612,6.281224265694612,0.0009827983278372851,100550.2851167618,550.285116761821,4.127477819489532,1.019532002156365e-06,1.019532002156365,3.04697748664233e-06,0.3346044464889112
8,0.007178542017936699,7.178542017936699,0.0009433372596827675,100530.1591699381,530.1591699380515,3.976520803606274,1.019663825831283e-06,1.019663825831283,2.806783938912862e-06,0.3632855580750904
9,0.008075859770178787,8.075859770178786,0.000904794495059374,100505.5627099766,505.5627099765697,3.792032181550884,1.019645908403714e-06,1.019645908403714,2.581635618321104e-06,0.3949613112678936
10,0.008973177522420875,8.973177522420874,0.001010132613605864,100518.3736329629,518.3736329629464,3.888122006375902,1.019428935852667e-06,1.019428935852666,3.218055118412623e-06,0.3167842493056089
11,0.009870495274662962,9.870495274662963,0.000950592166096466,100494.1833480696,494.1833480695641,3.706679947880644,1.01960240328433e-06,1.01960240328433,2.849354656112212e-06,0.3578363562195324
