metric,value,units
run_completed,1,bool
number_of_1d_models,1,-
number_of_0d_models,0,-
number_of_segments,40,-
centreline_arc_length,0.0358927100896835,m
density,1055,kg/m3
kinematic_viscosity,3.3e-06,m2/s
late_time_averaging_window,1,s
inlet_pressure_gauge,657.2591282585781,Pa
outlet_pressure_gauge,0,Pa
pressure_drop,657.2591282585781,Pa
inlet_flow,1.021374473892862e-06,m3/s
outlet_flow,1.035244759512023e-06,m3/s
mean_terminal_flow,1.028309616702443e-06,m3/s
flow_mismatch_percent,1.348843324410419,%
axial_flow_spread_percent,2.298868708893399,%
maximum_area_change_percent,0.4935546054113393,%
hydraulic_resistance,639164622.7779723,Pa s/m3
