segment_id,s_mid_m,flow_start_m3_s,flow_end_m3_s,flow_mean_m3_s,flow_mean_mL_s
V000,0.0004486588761210437,1.021374473892862e-06,1.015971097337559e-06,1.01867278561521e-06,1.01867278561521
V001,0.001345976628363131,1.020730560138553e-06,1.020722057765978e-06,1.020726308952265e-06,1.020726308952265
V002,0.002243294380605219,1.020649165921752e-06,1.02062774294715e-06,1.020638454434451e-06,1.020638454434451
V003,0.003140612132847306,1.02069021928901e-06,1.020689682982374e-06,1.020689951135692e-06,1.020689951135691
V004,0.004037929885089393,1.020724111936067e-06,1.020721557324304e-06,1.020722834630186e-06,1.020722834630186
V005,0.004935247637331481,1.020018806868087e-06,1.01910787580321e-06,1.019563341335649e-06,1.019563341335648
V006,0.005832565389573568,1.019950384102241e-06,1.019853073925801e-06,1.019901729014021e-06,1.019901729014021
V007,0.006729883141815655,1.020002224123947e-06,1.019994314934346e-06,1.019998269529147e-06,1.019998269529147
V008,0.007627200894057743,1.019998814729527e-06,1.01999014589598e-06,1.019994480312753e-06,1.019994480312753
V009,0.008524518646299831,1.019645366460206e-06,1.019729274088189e-06,1.019687320274198e-06,1.019687320274198
V010,0.009421836398541918,1.019972366749087e-06,1.019922729637272e-06,1.019947548193179e-06,1.019947548193179
V011,0.01031915415078401,1.019531552197488e-06,1.018784463833995e-06,1.019158008015742e-06,1.019158008015742
V012,0.01121647190302609,1.019560275407201e-06,1.019569456847414e-06,1.019564866127308e-06,1.019564866127308
V013,0.01211378965526818,1.019550062966499e-06,1.019513915282352e-06,1.019531989124425e-06,1.019531989124425
V014,0.01301110740751027,1.008973183541925e-06,1.035231841806487e-06,1.022102512674206e-06,1.022102512674206
V015,0.01390842515975236,1.039017773771703e-06,1.039450566469089e-06,1.039234170120396e-06,1.039234170120396
V016,0.01480574291199444,1.038774655768442e-06,1.037065485542761e-06,1.037920070655602e-06,1.037920070655602
V017,0.01570306066423653,1.038781921945557e-06,1.038778393015198e-06,1.038780157480378e-06,1.038780157480378
V018,0.01660037841647862,1.038805486251517e-06,1.038798785324355e-06,1.038802135787936e-06,1.038802135787936
V019,0.0174976961687207,1.038808088776455e-06,1.038803281828678e-06,1.038805685302567e-06,1.038805685302567
V020,0.01839501392096279,1.038774940964107e-06,1.038775367931032e-06,1.038775154447569e-06,1.038775154447569
V021,0.01929233167320488,1.038626755640211e-06,1.038517332031462e-06,1.038572043835836e-06,1.038572043835837
V022,0.02018964942544697,1.038746034446444e-06,1.038750952229843e-06,1.038748493338143e-06,1.038748493338143
V023,0.02108696717768906,1.038708305551425e-06,1.038705723387952e-06,1.038707014469689e-06,1.038707014469689
V024,0.02198428492993114,1.038741754304795e-06,1.038748128764364e-06,1.038744941534579e-06,1.038744941534579
V025,0.02288160268217323,1.038588172648946e-06,1.038483045093538e-06,1.038535608871242e-06,1.038535608871242
V026,0.02377892043441532,1.038647411364341e-06,1.038642741172825e-06,1.038645076268583e-06,1.038645076268583
V027,0.02467623818665741,1.038686558205328e-06,1.038675134232754e-06,1.038680846219041e-06,1.038680846219041
V028,0.02557355593889949,1.038555846591453e-06,1.038485554626863e-06,1.038520700609158e-06,1.038520700609158
V029,0.02647087369114158,1.0385957387331e-06,1.03856637071347e-06,1.038581054723285e-06,1.038581054723285
V030,0.02736819144338367,1.038286470339559e-06,1.037922330628866e-06,1.038104400484212e-06,1.038104400484212
V031,0.02826550919562575,1.038110659160681e-06,1.038106033866654e-06,1.038108346513668e-06,1.038108346513668
V032,0.02916282694786784,1.038313843811591e-06,1.038301531384658e-06,1.038307687598124e-06,1.038307687598124
V033,0.03006014470010993,1.038276878447467e-06,1.038240494744975e-06,1.038258686596221e-06,1.038258686596221
V034,0.03095746245235202,1.038335980740053e-06,1.038343527108647e-06,1.03833975392435e-06,1.03833975392435
V035,0.0318547802045941,1.036647374200444e-06,1.031125418152824e-06,1.033886396176634e-06,1.033886396176634
V036,0.03275209795683619,1.034478041679176e-06,1.034389307996484e-06,1.03443367483783e-06,1.03443367483783
V037,0.03364941570907828,1.033774856396733e-06,1.034163521731592e-06,1.033969189064163e-06,1.033969189064163
V038,0.03454673346132037,1.033629501487408e-06,1.034622328676746e-06,1.034125915082077e-06,1.034125915082077
V039,0.03544405121356245,1.035426021478043e-06,1.035431368785004e-06,1.035428695131523e-06,1.035428695131523
