metric,value,units
run_completed,1,bool
number_of_1d_models,1,-
number_of_0d_models,0,-
number_of_segments,40,-
centreline_arc_length,0.0358927100896835,m
density,1060,kg/m3
kinematic_viscosity,3.3e-06,m2/s
late_time_averaging_window,1,s
inlet_pressure_gauge,1188.860419049277,Pa
outlet_pressure_gauge,0,Pa
pressure_drop,1188.860419049277,Pa
inlet_flow,1.021374473892862e-06,m3/s
outlet_flow,1.035431368785004e-06,m3/s
mean_terminal_flow,1.028402921338933e-06,m3/s
flow_mismatch_percent,1.366866487878196,%
axial_flow_spread_percent,2.284637701837332,%
maximum_area_change_percent,0.8936359520566484,%
hydraulic_resistance,1156025906.170547,Pa s/m3
