metric,value,units
run_completed,1,bool
number_of_1d_models,1,-
number_of_0d_models,0,-
number_of_segments,40,-
centreline_arc_length,0.0358927100896835,m
density,1060,kg/m3
kinematic_viscosity,3e-06,m2/s
late_time_averaging_window,1,s
inlet_pressure_gauge,631.7458819530875,Pa
outlet_pressure_gauge,0,Pa
pressure_drop,631.7458819530875,Pa
inlet_flow,1.021374473892861e-06,m3/s
outlet_flow,1.035195534210792e-06,m3/s
mean_terminal_flow,1.028285004051827e-06,m3/s
flow_mismatch_percent,1.344088483588798,%
axial_flow_spread_percent,2.296605706026277,%
maximum_area_change_percent,0.4743735207374034,%
hydraulic_resistance,614368467.3643717,Pa s/m3
