segment_id,s_mid_m,flow_start_m3_s,flow_end_m3_s,flow_mean_m3_s,flow_mean_mL_s
V000,0.0004486588761210437,1.021374473889156e-06,1.019928310944014e-06,1.020651392416585e-06,1.020651392416585
V001,0.001345976628363131,1.020797277926219e-06,1.020797389186358e-06,1.020797333556289e-06,1.020797333556289
V002,0.002243294380605219,1.020786871892211e-06,1.020778834897894e-06,1.020782853395052e-06,1.020782853395052
V003,0.003140612132847306,1.020790216416241e-06,1.02078873549035e-06,1.020789475953295e-06,1.020789475953295
V004,0.004037929885089393,1.02079451881965e-06,1.02079492388114e-06,1.020794721350395e-06,1.020794721350395
V005,0.004935247637331481,1.020696050032939e-06,1.020477551248724e-06,1.020586800640832e-06,1.020586800640832
V006,0.005832565389573568,1.020630082298538e-06,1.020603643020709e-06,1.020616862659624e-06,1.020616862659623
V007,0.006729883141815655,1.020630205141735e-06,1.020625413573609e-06,1.020627809357672e-06,1.020627809357672
V008,0.007627200894057743,1.020627137610586e-06,1.020621804064375e-06,1.020624470837481e-06,1.020624470837481
V009,0.008524518646299831,1.02056276418358e-06,1.020598782951862e-06,1.020580773567721e-06,1.020580773567721
V010,0.009421836398541918,1.020636447470313e-06,1.020620898992947e-06,1.02062867323163e-06,1.02062867323163
V011,0.01031915415078401,1.020567453363622e-06,1.020396526663999e-06,1.02048199001381e-06,1.02048199001381
V012,0.01121647190302609,1.020532220492021e-06,1.020531864604847e-06,1.020532042548434e-06,1.020532042548434
V013,0.01211378965526818,1.020528609655903e-06,1.020525483646098e-06,1.020527046651001e-06,1.020527046651001
V014,0.01301110740751027,1.017822570862456e-06,1.024436559739659e-06,1.021129565301057e-06,1.021129565301057
V015,0.01390842515975236,1.024928944271747e-06,1.025023090621811e-06,1.024976017446779e-06,1.024976017446779
V016,0.01480574291199444,1.024940810175262e-06,1.024529066171613e-06,1.024734938173438e-06,1.024734938173438
V017,0.01570306066423653,1.024826036944527e-06,1.024821925891326e-06,1.024823981417926e-06,1.024823981417927
V018,0.01660037841647862,1.0248265937405e-06,1.024826046696423e-06,1.024826320218462e-06,1.024826320218462
V019,0.0174976961687207,1.024827436198199e-06,1.024826907549077e-06,1.024827171873638e-06,1.024827171873638
V020,0.01839501392096279,1.024824130484691e-06,1.024821523404239e-06,1.024822826944465e-06,1.024822826944465
V021,0.01929233167320488,1.024800866086782e-06,1.024772155487346e-06,1.024786510787064e-06,1.024786510787064
V022,0.02018964942544697,1.02481025119247e-06,1.024810404952295e-06,1.024810328072382e-06,1.024810328072382
V023,0.02108696717768906,1.02480434706499e-06,1.024801109906183e-06,1.024802728485586e-06,1.024802728485587
V024,0.02198428492993114,1.024807187501371e-06,1.024806920594736e-06,1.024807054048054e-06,1.024807054048054
V025,0.02288160268217323,1.024783458779789e-06,1.024756261314182e-06,1.024769860046986e-06,1.024769860046986
V026,0.02377892043441532,1.024784113805805e-06,1.02477996871028e-06,1.024782041258043e-06,1.024782041258043
V027,0.02467623818665741,1.024787218612514e-06,1.0247863203656e-06,1.024786769489057e-06,1.024786769489057
V028,0.02557355593889949,1.024768193029979e-06,1.024748833175352e-06,1.024758513102666e-06,1.024758513102666
V029,0.02647087369114158,1.024767175195068e-06,1.024766008960095e-06,1.024766592077582e-06,1.024766592077582
V030,0.02736819144338367,1.024725131802572e-06,1.024642622043333e-06,1.024683876922953e-06,1.024683876922952
V031,0.02826550919562575,1.024674209457184e-06,1.024690924620242e-06,1.024682567038713e-06,1.024682567038713
V032,0.02916282694786784,1.024722384579518e-06,1.024716791235797e-06,1.024719587907657e-06,1.024719587907657
V033,0.03006014470010993,1.02471262758835e-06,1.024713143133843e-06,1.024712885361096e-06,1.024712885361097
V034,0.03095746245235202,1.024728054806066e-06,1.024728904693243e-06,1.024728479749655e-06,1.024728479749655
V035,0.0318547802045941,1.024498818985222e-06,1.023286440220453e-06,1.023892629602837e-06,1.023892629602837
V036,0.03275209795683619,1.023910056587883e-06,1.023917465678539e-06,1.023913761133211e-06,1.023913761133211
V037,0.03364941570907828,1.023800232893509e-06,1.023932775444675e-06,1.023866504169092e-06,1.023866504169092
V038,0.03454673346132037,1.023808339925801e-06,1.024070662023764e-06,1.023939500974782e-06,1.023939500974782
V039,0.03544405121356245,1.024184084699572e-06,1.024192957225173e-06,1.024188520962373e-06,1.024188520962373
