distance,x,y,z,U_x,U_y,U_z,p
0.0,-0.002,0.0,0.038,0.0,0.0,0.0,0.0013401051
4.040404e-05,-0.001959596,0.0,0.038,4.366388e-09,-1.1478193e-09,0.0076791043,0.0013401051
8.0808081e-05,-0.0019191919,0.0,0.038,8.7327761e-09,-2.2956386e-09,0.015358209,0.0013401052
0.00012121212,-0.0018787879,0.0,0.038,1.3099164e-08,-3.4434579e-09,0.023037313,0.0013401052
0.00016161616,-0.0018383838,0.0,0.038,1.7465552e-08,-4.5912773e-09,0.030716417,0.0013401053
0.0002020202,-0.0017979798,0.0,0.038,2.7165366e-08,-5.5329524e-09,0.037845407,0.0013401054
0.00024242424,-0.0017575758,0.0,0.038,3.7627098e-08,-6.4451785e-09,0.044895809,0.0013401055
0.00028282828,-0.0017171717,0.0,0.038,4.8088829e-08,-7.3574045e-09,0.051946212,0.0013401056
0.00032323232,-0.0016767677,0.0,0.038,5.8550561e-08,-8.2696305e-09,0.058996614,0.0013401057
0.00036363636,-0.0016363636,0.0,0.038,7.2718288e-08,-8.9811501e-09,0.06554266,0.0013401057
0.0004040404,-0.0015959596,0.0,0.038,8.8121346e-08,-9.6257675e-09,0.071920588,0.0013401058
0.00044444444,-0.0015555556,0.0,0.038,1.035244e-07,-1.0270385e-08,0.078298516,0.0013401059
0.00048484848,-0.0015151515,0.0,0.038,1.1892746e-07,-1.0915002e-08,0.084676444,0.0013401059
0.00052525253,-0.0014747475,0.0,0.038,1.3595397e-07,-1.1398179e-08,0.090634751,0.001340106
0.00056565657,-0.0014343434,0.0,0.038,1.5395454e-07,-1.1784491e-08,0.096341285,0.001340106
0.00060606061,-0.0013939394,0.0,0.038,1.7195512e-07,-1.2170803e-08,0.10204782,0.001340106
0.00064646465,-0.0013535354,0.0,0.038,1.8995569e-07,-1.2557115e-08,0.10775435,0.001340106
0.00068686869,-0.0013131313,0.0,0.038,2.0777052e-07,-1.2828603e-08,0.11312692,0.001340106
0.00072727273,-0.0012727273,0.0,0.038,2.2539959e-07,-1.2985267e-08,0.11816551,0.001340106
0.00076767677,-0.0012323232,0.0,0.038,2.4302867e-07,-1.3141931e-08,0.12320411,0.001340106
0.00080808081,-0.0011919192,0.0,0.038,2.6065775e-07,-1.3298594e-08,0.1282427,0.001340106
0.00084848485,-0.0011515152,0.0,0.038,2.7725187e-07,-1.3380596e-08,0.13311555,0.0013401059
0.00088888889,-0.0011111111,0.0,0.038,2.9212108e-07,-1.333816e-08,0.13771217,0.0013401058
0.00092929293,-0.0010707071,0.0,0.038,3.0699028e-07,-1.3295725e-08,0.14230879,0.0013401058
0.00096969697,-0.001030303,0.0,0.038,3.2185949e-07,-1.3253289e-08,0.14690541,0.0013401057
0.001010101,-0.00098989899,-3.4223553e-22,0.038,3.3461807e-07,-1.3190764e-08,0.15123162,0.0013401056
0.0010505051,-0.00094949495,-1.7111777e-21,0.038,3.4104478e-07,-1.3067972e-08,0.1547466,0.0013401056
0.0010909091,-0.00090909091,-3.0801198e-21,0.038,3.474715e-07,-1.294518e-08,0.15826158,0.0013401055
0.0011313131,-0.00086868687,-4.4490619e-21,0.038,3.5389821e-07,-1.2822388e-08,0.16177657,0.0013401054
0.0011717172,-0.00082828283,-5.8180041e-21,0.038,3.6032493e-07,-1.2699596e-08,0.16529155,0.0013401053
0.0012121212,-0.00078787879,-6.7762636e-21,0.038,3.6365979e-07,-1.2572853e-08,0.16861056,0.0013401053
0.0012525253,-0.00074747475,-6.7762636e-21,0.038,3.5978032e-07,-1.2436892e-08,0.17147227,0.0013401052
0.0012929293,-0.00070707071,-6.7762636e-21,0.038,3.5590086e-07,-1.2300932e-08,0.17433399,0.0013401051
0.0013333333,-0.00066666667,-6.7589397e-21,0.038,3.5202139e-07,-1.2164971e-08,0.17719571,0.001340105
0.0013737374,-0.00062626263,-1.0556478e-20,0.038,3.4814193e-07,-1.202901e-08,0.18005742,0.0013401049
0.0014141414,-0.00058585859,-1.0556478e-20,0.038,3.4022532e-07,-1.1899314e-08,0.1826338,0.0013401048
0.0014545455,-0.00054545455,-1.0556478e-20,0.038,3.2481115e-07,-1.1781255e-08,0.18468028,0.0013401047
0.0014949495,-0.00050505051,-1.1469106e-20,0.038,3.0939699e-07,-1.1663196e-08,0.18672676,0.0013401047
0.0015353535,-0.00046464646,-1.1469106e-20,0.038,2.9398282e-07,-1.1545137e-08,0.18877323,0.0013401046
0.0015757576,-0.00042424242,-1.1469106e-20,0.038,2.7856865e-07,-1.1427077e-08,0.19081971,0.0013401045
0.0016161616,-0.00038383838,-1.2356066e-20,0.038,2.5919329e-07,-1.1326621e-08,0.19253914,0.0013401044
0.0016565657,-0.00034343434,-1.3204525e-20,0.038,2.3387613e-07,-1.125257e-08,0.19376801,0.0013401044
0.0016969697,-0.0003030303,-1.3206818e-20,0.038,2.0855896e-07,-1.1178518e-08,0.19499688,0.0013401043
0.0017373737,-0.00026262626,-1.3212365e-20,0.038,1.832418e-07,-1.1104467e-08,0.19622575,0.0013401043
0.0017777778,-0.00022222222,-1.4060824e-20,0.038,1.5792463e-07,-1.1030416e-08,0.19745463,0.0013401042
0.0018181818,-0.00018181818,-1.414567e-20,0.038,1.3007461e-07,-1.0978228e-08,0.19831491,0.0013401042
0.0018585859,-0.00014141414,-1.3297211e-20,0.038,9.9128857e-08,-1.0952764e-08,0.19872469,0.0013401042
0.0018989899,-0.0001010101,-1.3278897e-20,0.038,6.8183106e-08,-1.09273e-08,0.19913448,0.0013401042
0.0019393939,-6.0606061e-05,-1.3263788e-20,0.038,3.7237355e-08,-1.0901836e-08,0.19954427,0.0013401042
0.001979798,-2.020202e-05,-1.325931e-20,0.038,6.2916045e-09,-1.0876372e-08,0.19995405,0.0013401042
0.002020202,2.020202e-05,-1.3256034e-20,0.038,-2.461052e-08,-1.087617e-08,0.19995405,0.0013401042
0.0020606061,6.0606061e-05,-1.2279237e-20,0.038,-5.5469017e-08,-1.0901229e-08,0.19954426,0.0013401042
0.0021010101,0.0001010101,-1.1302439e-20,0.038,-8.6327515e-08,-1.0926287e-08,0.19913447,0.0013401043
0.0021414141,0.00014141414,-1.0325642e-20,0.038,-1.1718601e-07,-1.0951346e-08,0.19872468,0.0013401043
0.0021818182,0.00018181818,-9.3488449e-21,0.038,-1.4804451e-07,-1.0976405e-08,0.19831489,0.0013401043
0.0022222222,0.00022222222,-8.9092861e-21,0.038,-1.7571224e-07,-1.1028326e-08,0.19745461,0.0013401044
0.0022626263,0.00026262626,-8.9092861e-21,0.038,-2.0076934e-07,-1.1102226e-08,0.19622573,0.0013401045
0.0023030303,0.0003030303,-8.9092861e-21,0.038,-2.2582644e-07,-1.1176125e-08,0.19499686,0.0013401045
0.0023434343,0.00034343434,-8.9092861e-21,0.038,-2.5088354e-07,-1.1250025e-08,0.19376798,0.0013401046
0.0023838384,0.00038383838,-8.9092861e-21,0.038,-2.7594064e-07,-1.1323925e-08,0.19253911,0.0013401047
0.0024242424,0.00042424242,-9.4953645e-21,0.038,-2.9496463e-07,-1.1424434e-08,0.19081967,0.0013401048
0.0024646465,0.00046464646,-1.0472162e-20,0.038,-3.0996656e-07,-1.1542683e-08,0.18877319,0.0013401049
0.0025050505,0.00050505051,-1.1448959e-20,0.038,-3.2496848e-07,-1.1660932e-08,0.18672671,0.0013401049
0.0025454545,0.00054545455,-1.2425756e-20,0.038,-3.3997041e-07,-1.1779181e-08,0.18468023,0.001340105
0.0025858586,0.00058585859,-1.3402554e-20,0.038,-3.5497234e-07,-1.1897431e-08,0.18263376,0.0013401051
0.0026262626,0.00062626263,-1.4379351e-20,0.038,-3.6238372e-07,-1.2027524e-08,0.18005737,0.0013401052
0.0026666667,0.00066666667,-1.6440789e-20,0.038,-3.6570788e-07,-1.2163996e-08,0.17719565,0.0013401053
0.0027070707,0.00070707071,-2.0091301e-20,0.038,-3.6903204e-07,-1.2300467e-08,0.17433393,0.0013401054
0.0027474747,0.00074747475,-2.3741814e-20,0.038,-3.723562e-07,-1.2436938e-08,0.17147222,0.0013401055
0.0027878788,0.00078787879,-2.7392326e-20,0.038,-3.7568036e-07,-1.257341e-08,0.1686105,0.0013401056
0.0028282828,0.00082828283,-2.7803722e-20,0.038,-3.7174015e-07,-1.2699687e-08,0.16529149,0.0013401057
0.0028686869,0.00086868687,-2.6826925e-20,0.038,-3.6468664e-07,-1.2821594e-08,0.1617765,0.0013401058
0.0029090909,0.00090909091,-2.5850127e-20,0.038,-3.5763313e-07,-1.2943502e-08,0.15826152,0.0013401059
0.0029494949,0.00094949495,-2.487333e-20,0.038,-3.5057962e-07,-1.3065409e-08,0.15474653,0.001340106
0.002989899,0.00098989899,-2.3896533e-20,0.038,-3.4352611e-07,-1.3187317e-08,0.15123154,0.0013401061
0.003030303,0.001030303,-2.3652333e-20,0.038,-3.3010444e-07,-1.3246787e-08,0.14690533,0.0013401061
0.0030707071,0.0010707071,-2.3652333e-20,0.038,-3.1456005e-07,-1.3285445e-08,0.14230872,0.0013401062
0.0031111111,0.0011111111,-2.3652333e-20,0.038,-2.9901566e-07,-1.3324104e-08,0.1377121,0.0013401063
0.0031515152,0.0011515152,-2.3652333e-20,0.038,-2.8347126e-07,-1.3362762e-08,0.13311548,0.0013401063
0.0031919192,0.0011919192,-2.3652333e-20,0.038,-2.6627567e-07,-1.3276108e-08,0.12824263,0.0013401064
0.0032323232,0.0012323232,-2.3652333e-20,0.038,-2.4808935e-07,-1.3114268e-08,0.12320404,0.0013401064
0.0032727273,0.0012727273,-2.3652333e-20,0.038,-2.2990304e-07,-1.2952427e-08,0.11816544,0.0013401064
0.0033131313,0.0013131313,-2.3652333e-20,0.038,-2.1171672e-07,-1.2790587e-08,0.11312685,0.0013401065
0.0033535354,0.0013535354,-2.3652333e-20,0.038,-1.9340034e-07,-1.2513556e-08,0.10775429,0.0013401065
0.0033939394,0.0013939394,-2.3652333e-20,0.038,-1.7495389e-07,-1.2121336e-08,0.10204776,0.0013401064
0.0034343434,0.0014343434,-2.3652333e-20,0.038,-1.5650745e-07,-1.1729116e-08,0.096341224,0.0013401064
0.0034747475,0.0014747475,-2.3652333e-20,0.038,-1.38061e-07,-1.1336896e-08,0.090634692,0.0013401064
0.0035151515,0.0015151515,-2.3652333e-20,0.038,-1.2064154e-07,-1.0848188e-08,0.084676389,0.0013401064
0.0035555556,0.0015555556,-2.3652333e-20,0.038,-1.0493373e-07,-1.0198668e-08,0.078298465,0.0013401063
0.0035959596,0.0015959596,-2.3652333e-20,0.038,-8.9225922e-08,-9.5491477e-09,0.071920541,0.0013401062
0.0036363636,0.0016363636,-2.3652333e-20,0.038,-7.3518111e-08,-8.8996275e-09,0.065542618,0.0013401062
0.0036767677,0.0016767677,-2.3652333e-20,0.038,-5.9086949e-08,-8.1848782e-09,0.058996576,0.0013401061
0.0037171717,0.0017171717,-2.3652333e-20,0.038,-4.8485735e-08,-7.2744417e-09,0.051946178,0.001340106
0.0037575758,0.0017575758,-2.3652333e-20,0.038,-3.7884521e-08,-6.3640051e-09,0.04489578,0.0013401059
0.0037979798,0.0017979798,-2.3652333e-20,0.038,-2.7283306e-08,-5.4535685e-09,0.037845383,0.0013401058
0.0038383838,0.0018383838,-2.3652333e-20,0.038,-1.746157e-08,-4.5158172e-09,0.030716398,0.0013401057
0.0038787879,0.0018787879,-2.3652333e-20,0.038,-1.3096177e-08,-3.3868629e-09,0.023037298,0.0013401056
0.0039191919,0.0019191919,-2.3652333e-20,0.038,-8.730785e-09,-2.2579086e-09,0.015358199,0.0013401056
0.003959596,0.001959596,-2.3652333e-20,0.038,-4.3653925e-09,-1.1289543e-09,0.0076790994,0.0013401055
0.004,0.002,-2.3652333e-20,0.038,0.0,0.0,0.0,0.0013401055
