segment_id,s_start_m,s_end_m,length_m,radius_m,area_m2,resistance_Pa_s_m3
0,0.0,0.003589271008968353,0.0036899813,0.0013704036677658958,5.899930520982523e-06,9324773.133972311
1,0.003589271008968353,0.007178542017936706,0.0035608711,0.0011168488215856486,3.918669649980764e-06,20397965.4864465
2,0.007178542017936706,0.010767813026905059,0.0036640132,0.0009376554544564022,2.7620811964482856e-06,42246628.40050323
3,0.010767813026905059,0.014357084035873413,0.0034231239,0.0011802160994706466,4.375955953329854e-06,15724781.988276068
4,0.014357084035873413,0.017946355044841766,0.0035329482,0.00137288581819785,5.921322433323659e-06,8863551.121567823
5,0.017946355044841766,0.021535626053810118,0.0037509047,0.0012311631695230481,4.761909119953765e-06,14550627.681142606
6,0.021535626053810118,0.025124897062778474,0.0034700606,0.0010621615967593826,3.54430480044541e-06,24298689.051292054
7,0.025124897062778474,0.028714168071746825,0.003472844,0.0009606180093632546,2.8990207340912087e-06,36348837.386863835
8,0.028714168071746825,0.03230343908071518,0.0038497243,0.0009453032348013334,2.807321558369398e-06,42968798.6686165
9,0.03230343908071518,0.03589271008968353,0.0034782337,0.0010310212677061546,3.3395282415093826e-06,27434460.352824338
